NM_001164499	0+2-	4. PRJNA281134|multi_mus_PRJNA398031
NR_024067	1+1-	9.PRJNA322294|6.PRJNA336339
NM_010444	2+0-	multi_mus_PRJNA398031|6.PRJNA336339
NM_019663	2+0-	multi_mus_PRJNA398031|9.PRJNA322294
NM_001290667	1+1-	multi_mus_PRJNA398031|9.PRJNA322294
NM_009021	2+0-	4. PRJNA281134|9.PRJNA322294
NM_025960	1+1-	mus_PRJNA293822|6.PRJNA336339
NM_001163538	1+1-	4. PRJNA281134|6.PRJNA336339
NM_029648	1+1-	multi_mus_PRJNA398031|9.PRJNA322294
NM_001276301	2+0-	4. PRJNA281134|6.PRJNA336339
NM_181318	2+0-	multi_mus_PRJNA398031|9.PRJNA322294
MSTRG.4191.2	2+0-	9.PRJNA322294|6.PRJNA336339
NM_001109758	2+0-	4. PRJNA281134|6.PRJNA336339
NM_177872	1+1-	multi_mus_PRJNA398031|9.PRJNA322294
NM_026380	2+0-	multi_mus_PRJNA398031|9.PRJNA322294
NM_001038701	1+1-	9.PRJNA322294|6.PRJNA336339
MSTRG.11731.5	0+1-	4. PRJNA281134
MSTRG.11731.4	1+0-	4. PRJNA281134
NM_026614	1+0-	4. PRJNA281134
NM_026612	0+1-	6.PRJNA336339
MSTRG.15047.7	0+1-	9.PRJNA322294
MSTRG.15047.6	1+0-	9.PRJNA322294
MSTRG.8499.1	1+0-	6.PRJNA336339
MSTRG.18531.5	1+0-	4. PRJNA281134
NM_001291203	0+1-	9.PRJNA322294
MSTRG.19582.2	0+1-	multi_mus_PRJNA398031
NM_177639	1+0-	4. PRJNA281134
MSTRG.29225.1	1+0-	multi_mus_PRJNA398031
MSTRG.18492.7	1+0-	4. PRJNA281134
NM_001008542	0+1-	9.PRJNA322294
MSTRG.14034.3	0+1-	9.PRJNA322294
MSTRG.5559.1	1+0-	6.PRJNA336339
NM_001301014	1+0-	multi_mus_PRJNA398031
MSTRG.26864.1	1+0-	multi_mus_PRJNA398031
NM_007456	1+0-	multi_mus_PRJNA398031
NR_131893	0+1-	4. PRJNA281134
NM_172132	1+0-	mus_PRJNA293822
MSTRG.6933.3	0+1-	4. PRJNA281134
NM_001111107	0+1-	4. PRJNA281134
MSTRG.9893.1	1+0-	9.PRJNA322294
NM_008124	0+1-	6.PRJNA336339
MSTRG.13625.4	1+0-	4. PRJNA281134
MSTRG.5783.6	0+1-	4. PRJNA281134
MSTRG.12815.4	1+0-	6.PRJNA336339
NM_029037	1+0-	4. PRJNA281134
MSTRG.11158.1	1+0-	4. PRJNA281134
MSTRG.20287.3	1+0-	mus_PRJNA293822
MSTRG.4404.2	1+0-	4. PRJNA281134
NM_020043	1+0-	4. PRJNA281134
NR_102343	0+1-	4. PRJNA281134
MSTRG.10187.7	0+1-	6.PRJNA336339
NM_018870	0+1-	9.PRJNA322294
NM_008737	1+0-	9.PRJNA322294
MSTRG.22708.7	0+1-	4. PRJNA281134
NM_008018	0+1-	4. PRJNA281134
MSTRG.17743.1	1+0-	4. PRJNA281134
NM_134101	1+0-	4. PRJNA281134
MSTRG.17915.3	1+0-	4. PRJNA281134
NM_028277	1+0-	multi_mus_PRJNA398031
MSTRG.10046.10	0+1-	4. PRJNA281134
MSTRG.15220.1	1+0-	4. PRJNA281134
MSTRG.5807.13	1+0-	6.PRJNA336339
MSTRG.7891.8	0+1-	9.PRJNA322294
MSTRG.23524.2	0+1-	4. PRJNA281134
MSTRG.7891.4	0+1-	9.PRJNA322294
MSTRG.7891.2	1+0-	9.PRJNA322294
MSTRG.6025.5	0+1-	4. PRJNA281134
MSTRG.1954.2	1+0-	6.PRJNA336339
NM_001160017	1+0-	6.PRJNA336339
MSTRG.3209.4	0+1-	4. PRJNA281134
MSTRG.20150.2	1+0-	9.PRJNA322294
MSTRG.20047.1	1+0-	9.PRJNA322294
MSTRG.13356.3	1+0-	6.PRJNA336339
MSTRG.23633.3	0+1-	4. PRJNA281134
MSTRG.23633.2	1+0-	4. PRJNA281134
MSTRG.1454.1	0+1-	6.PRJNA336339
MSTRG.10789.2	1+0-	4. PRJNA281134
NM_001286033	0+1-	4. PRJNA281134
NM_001286030	0+1-	mus_PRJNA293822
NM_172665	0+1-	4. PRJNA281134
MSTRG.23812.18	0+1-	4. PRJNA281134
MSTRG.4639.3	1+0-	6.PRJNA336339
MSTRG.1053.2	1+0-	6.PRJNA336339
MSTRG.4885.10	0+1-	4. PRJNA281134
NM_008837	1+0-	4. PRJNA281134
MSTRG.2082.2	0+1-	mus_PRJNA293822
MSTRG.4121.2	1+0-	6.PRJNA336339
NM_001302216	0+1-	mus_PRJNA293822
NM_001252444	1+0-	multi_mus_PRJNA398031
MSTRG.3786.3	0+1-	9.PRJNA322294
MSTRG.20458.3	1+0-	4. PRJNA281134
MSTRG.8781.1	1+0-	6.PRJNA336339
NM_001271353	1+0-	4. PRJNA281134
MSTRG.20039.2	1+0-	9.PRJNA322294
MSTRG.7639.1	0+1-	4. PRJNA281134
MSTRG.10388.2	1+0-	6.PRJNA336339
MSTRG.5669.2	1+0-	4. PRJNA281134
NR_104397	0+1-	9.PRJNA322294
MSTRG.1122.3	1+0-	4. PRJNA281134
MSTRG.23997.6	1+0-	4. PRJNA281134
MSTRG.1579.4	0+1-	6.PRJNA336339
MSTRG.9910.1	0+1-	9.PRJNA322294
MSTRG.1985.6	1+0-	4. PRJNA281134
MSTRG.6447.11	1+0-	4. PRJNA281134
MSTRG.21227.9	0+1-	4. PRJNA281134
NM_023184	1+0-	9.PRJNA322294
NM_011515	0+1-	9.PRJNA322294
MSTRG.4218.2	1+0-	6.PRJNA336339
NM_010023	1+0-	4. PRJNA281134
NM_146137	0+1-	6.PRJNA336339
MSTRG.8812.9	0+1-	4. PRJNA281134
MSTRG.22199.4	1+0-	4. PRJNA281134
MSTRG.1989.5	1+0-	4. PRJNA281134
NM_001302459	1+0-	4. PRJNA281134
NM_001146027	1+0-	9.PRJNA322294
MSTRG.1989.1	1+0-	4. PRJNA281134
MSTRG.5499.2	1+0-	9.PRJNA322294
NM_001163565	1+0-	multi_mus_PRJNA398031
MSTRG.13537.1	1+0-	9.PRJNA322294
MSTRG.5499.1	0+1-	9.PRJNA322294
NM_001285917	1+0-	9.PRJNA322294
MSTRG.20326.1	0+1-	9.PRJNA322294
MSTRG.24451.1	0+1-	multi_mus_PRJNA398031
MSTRG.20725.5	0+1-	multi_mus_PRJNA398031
NM_001177703	1+0-	4. PRJNA281134
MSTRG.20804.1	0+1-	multi_mus_PRJNA398031
MSTRG.4887.22	1+0-	4. PRJNA281134
MSTRG.12180.4	1+0-	9.PRJNA322294
MSTRG.20806.2	0+1-	4. PRJNA281134
MSTRG.19918.1	0+1-	4. PRJNA281134
MSTRG.15364.3	1+0-	4. PRJNA281134
MSTRG.15364.2	1+0-	9.PRJNA322294
MSTRG.15938.3	0+1-	multi_mus_PRJNA398031
MSTRG.4956.5	0+1-	4. PRJNA281134
NM_001163300	1+0-	9.PRJNA322294
NM_033587	0+1-	mus_PRJNA293822
NM_001077364	1+0-	9.PRJNA322294
NM_001163184	0+1-	9.PRJNA322294
NM_027712	1+0-	4. PRJNA281134
NM_033589	1+0-	6.PRJNA336339
MSTRG.5471.2	1+0-	multi_mus_PRJNA398031
MSTRG.11959.4	0+1-	9.PRJNA322294
NM_026046	0+1-	multi_mus_PRJNA398031
MSTRG.2843.3	0+1-	4. PRJNA281134
MSTRG.30096.4	1+0-	multi_mus_PRJNA398031
MSTRG.1603.2	1+0-	4. PRJNA281134
MSTRG.10108.9	0+1-	4. PRJNA281134
NM_010798	0+1-	6.PRJNA336339
NM_008088	1+0-	6.PRJNA336339
MSTRG.9516.1	1+0-	6.PRJNA336339
NM_001162417	0+1-	6.PRJNA336339
NM_176808	1+0-	9.PRJNA322294
NM_001166548	1+0-	9.PRJNA322294
MSTRG.14197.5	0+1-	9.PRJNA322294
MSTRG.7143.4	1+0-	9.PRJNA322294
MSTRG.20249.1	1+0-	mus_PRJNA293822
MSTRG.8032.7	0+1-	9.PRJNA322294
NM_001170711	0+1-	multi_mus_PRJNA398031
NM_029730	1+0-	9.PRJNA322294
MSTRG.5038.5	0+1-	4. PRJNA281134
MSTRG.6784.8	0+1-	4. PRJNA281134
MSTRG.2310.2	0+1-	9.PRJNA322294
MSTRG.8844.7	1+0-	9.PRJNA322294
MSTRG.16220.6	0+1-	4. PRJNA281134
MSTRG.4060.1	0+1-	9.PRJNA322294
MSTRG.16220.2	0+1-	4. PRJNA281134
