MSTRG.8147	2+1-	4. PRJNA281134_4|5. PRJNA322593 o PRJNA323485_9|5. PRJNA322593 o PRJNA323485_10
MSTRG.2335	2+0-	5. PRJNA322593 o PRJNA323485_9|5. PRJNA322593 o PRJNA323485_10
Brpf1	1+1-	multi_mus_PRJNA398031_4|5. PRJNA322593 o PRJNA323485_10
Fbxo34	1+1-	multi_mus_PRJNA398031_4|9.PRJNA322294_5
Ccdc174	2+0-	5. PRJNA322593 o PRJNA323485_9|5. PRJNA322593 o PRJNA323485_10
Pkig	1+1-	4. PRJNA281134_4|multi_mus_PRJNA398031_4
MSTRG.9941	0+2-	4. PRJNA281134_4|4. PRJNA281134_3
Dbnl	0+2-	4. PRJNA281134_4|multi_mus_PRJNA398031_4
Mpdz	1+1-	multi_mus_PRJNA398031_4|5. PRJNA322593 o PRJNA323485_9
Slu7	0+2-	multi_mus_PRJNA398031_4|9.PRJNA322294_5
Hba-a1	1+1-	4. PRJNA281134_4|4. PRJNA281134_3
MSTRG.14943	1+1-	4. PRJNA281134_4|4. PRJNA281134_3
Scaf11	0+2-	multi_mus_PRJNA398031_4|5. PRJNA322593 o PRJNA323485_9
MSTRG.16939	2+0-	multi_mus_PRJNA398031_4|4. PRJNA281134_3
Ppp1r8	0+2-	multi_mus_PRJNA398031_4|5. PRJNA322593 o PRJNA323485_10
Irgq	0+2-	multi_mus_PRJNA398031_4|9.PRJNA322294_5
MSTRG.12424	2+0-	5. PRJNA322593 o PRJNA323485_9|5. PRJNA322593 o PRJNA323485_10
MSTRG.12947	1+1-	multi_mus_PRJNA398031_4|9.PRJNA322294_5
MSTRG.18648	0+2-	multi_mus_PRJNA398031_4|5. PRJNA322593 o PRJNA323485_10
MSTRG.6732	2+0-	5. PRJNA322593 o PRJNA323485_9|5. PRJNA322593 o PRJNA323485_10
Pus7	0+2-	multi_mus_PRJNA398031_4|5. PRJNA322593 o PRJNA323485_10
Gpc6	0+1-	4. PRJNA281134_3
MSTRG.10758	1+0-	multi_mus_PRJNA398031_4
MSTRG.5151	1+0-	multi_mus_PRJNA398031_4
Susd6	0+1-	multi_mus_PRJNA398031_4
Bcl6	0+1-	multi_mus_PRJNA398031_4
Gmfb	0+1-	multi_mus_PRJNA398031_4
MSTRG.3380	0+1-	multi_mus_PRJNA398031_4
MSTRG.3706	1+0-	multi_mus_PRJNA398031_4
Eif3f	1+0-	4. PRJNA281134_3
Necab3	0+1-	multi_mus_PRJNA398031_4
MSTRG.23277	0+1-	multi_mus_PRJNA398031_4
Dvl1	0+1-	multi_mus_PRJNA398031_4
MSTRG.21687	0+1-	multi_mus_PRJNA398031_4
MSTRG.12205	0+1-	5. PRJNA322593 o PRJNA323485_9
MSTRG.24382	1+0-	multi_mus_PRJNA398031_4
Anxa6	1+0-	multi_mus_PRJNA398031_4
MSTRG.18888	0+1-	multi_mus_PRJNA398031_4
MSTRG.1611	1+0-	multi_mus_PRJNA398031_4
MSTRG.2942	0+1-	multi_mus_PRJNA398031_4
Zfp799	0+1-	multi_mus_PRJNA398031_4
MSTRG.9219	1+0-	4. PRJNA281134_4
Zfp37	1+0-	multi_mus_PRJNA398031_4
MSTRG.33565	1+0-	multi_mus_PRJNA398031_4
MSTRG.2131	0+1-	4. PRJNA281134_4
MSTRG.12825	1+0-	multi_mus_PRJNA398031_4
Cpeb4	1+0-	5. PRJNA322593 o PRJNA323485_10
Psmc1	0+1-	multi_mus_PRJNA398031_4
MSTRG.17229	1+0-	multi_mus_PRJNA398031_4
MSTRG.7702	0+1-	multi_mus_PRJNA398031_4
Clec16a	1+0-	5. PRJNA322593 o PRJNA323485_10
Git2	0+1-	4. PRJNA281134_3
MSTRG.4897	0+1-	5. PRJNA322593 o PRJNA323485_9
MSTRG.18638	1+0-	4. PRJNA281134_4
Lig1	0+1-	multi_mus_PRJNA398031_4
Eif5a	1+0-	5. PRJNA322593 o PRJNA323485_9
MSTRG.11185	0+1-	multi_mus_PRJNA398031_4
MSTRG.18552	1+0-	4. PRJNA281134_4
MSTRG.23788	1+0-	4. PRJNA281134_4
Ptrh2	0+1-	9.PRJNA322294_5
MSTRG.1918	1+0-	multi_mus_PRJNA398031_4
Atf7ip	0+1-	multi_mus_PRJNA398031_4
MSTRG.12849	0+1-	5. PRJNA322593 o PRJNA323485_9
MSTRG.7353	1+0-	multi_mus_PRJNA398031_4
MSTRG.33858	1+0-	multi_mus_PRJNA398031_4
Fam168a	0+1-	5. PRJNA322593 o PRJNA323485_10
MSTRG.7975	1+0-	5. PRJNA322593 o PRJNA323485_10
MSTRG.24565	0+1-	multi_mus_PRJNA398031_4
MSTRG.5757	1+0-	multi_mus_PRJNA398031_4
MSTRG.18222	1+0-	5. PRJNA322593 o PRJNA323485_10
MSTRG.32560	0+1-	multi_mus_PRJNA398031_4
Rpap2	1+0-	4. PRJNA281134_4
MSTRG.6799	0+1-	multi_mus_PRJNA398031_4
Phlda1	0+1-	multi_mus_PRJNA398031_4
MSTRG.22699	1+0-	multi_mus_PRJNA398031_4
Klhl25	0+1-	4. PRJNA281134_4
MSTRG.25773	0+1-	multi_mus_PRJNA398031_4
MSTRG.13802	0+1-	multi_mus_PRJNA398031_4
MSTRG.13876	0+1-	multi_mus_PRJNA398031_4
Adamts20	1+0-	4. PRJNA281134_4
MSTRG.23195	0+1-	multi_mus_PRJNA398031_4
MSTRG.27636	1+0-	multi_mus_PRJNA398031_4
