NM_001039391	2+1-	4. PRJNA281134_4|multi_mus_PRJNA398031_4|5. PRJNA322593 o PRJNA323485_9
NM_007869	0+3-	multi_mus_PRJNA398031_4|5. PRJNA322593 o PRJNA323485_9|5. PRJNA322593 o PRJNA323485_10
NM_001163216	1+1-	4. PRJNA281134_4|multi_mus_PRJNA398031_4
MSTRG.16433.5	0+2-	4. PRJNA281134_4|4. PRJNA281134_3
NM_019766	0+2-	multi_mus_PRJNA398031_4|5. PRJNA322593 o PRJNA323485_10
MSTRG.15563.4	2+0-	5. PRJNA322593 o PRJNA323485_9|5. PRJNA322593 o PRJNA323485_10
NM_009503	1+1-	4. PRJNA281134_4|multi_mus_PRJNA398031_4
MSTRG.15985.1	0+2-	multi_mus_PRJNA398031_4|9.PRJNA322294_5
MSTRG.19439.5	2+0-	5. PRJNA322593 o PRJNA323485_9|5. PRJNA322593 o PRJNA323485_10
NM_008218_1	1+1-	4. PRJNA281134_4|4. PRJNA281134_3
MSTRG.17061.2	2+0-	5. PRJNA322593 o PRJNA323485_9|5. PRJNA322593 o PRJNA323485_10
NM_134013	0+2-	multi_mus_PRJNA398031_4|5. PRJNA322593 o PRJNA323485_9
MSTRG.21709.2	0+2-	5. PRJNA322593 o PRJNA323485_9|5. PRJNA322593 o PRJNA323485_10
NM_001163025	1+1-	4. PRJNA281134_4|4. PRJNA281134_3
NM_144897	2+0-	4. PRJNA281134_4|5. PRJNA322593 o PRJNA323485_9
NM_001286973	1+1-	4. PRJNA281134_3|5. PRJNA322593 o PRJNA323485_10
NM_007438	1+1-	multi_mus_PRJNA398031_4|mus_PRJNA293822_27
MSTRG.12424.1	2+0-	5. PRJNA322593 o PRJNA323485_9|5. PRJNA322593 o PRJNA323485_10
MSTRG.7457.5	2+0-	5. PRJNA322593 o PRJNA323485_9|5. PRJNA322593 o PRJNA323485_10
MSTRG.21190.1	2+0-	5. PRJNA322593 o PRJNA323485_9|5. PRJNA322593 o PRJNA323485_10
NR_121616	2+0-	5. PRJNA322593 o PRJNA323485_9|5. PRJNA322593 o PRJNA323485_10
MSTRG.19544.4	0+2-	4. PRJNA281134_4|4. PRJNA281134_3
MSTRG.280.18	0+2-	4. PRJNA281134_4|4. PRJNA281134_3
MSTRG.2969.8	2+0-	5. PRJNA322593 o PRJNA323485_9|5. PRJNA322593 o PRJNA323485_10
MSTRG.12973.2	1+1-	9.PRJNA322294_5|4. PRJNA281134_3
MSTRG.1168.1	2+0-	5. PRJNA322593 o PRJNA323485_9|5. PRJNA322593 o PRJNA323485_10
NM_028127	1+1-	4. PRJNA281134_4|5. PRJNA322593 o PRJNA323485_10
NM_173757	0+2-	4. PRJNA281134_4|4. PRJNA281134_3
MSTRG.13520.1	1+1-	multi_mus_PRJNA398031_4|5. PRJNA322593 o PRJNA323485_10
MSTRG.1106.1	1+1-	4. PRJNA281134_4|multi_mus_PRJNA398031_4
MSTRG.20351.2	1+1-	4. PRJNA281134_4|5. PRJNA322593 o PRJNA323485_9
MSTRG.12364.1	2+0-	5. PRJNA322593 o PRJNA323485_9|5. PRJNA322593 o PRJNA323485_10
MSTRG.9955.2	0+2-	multi_mus_PRJNA398031_4|4. PRJNA281134_3
NM_172444	0+2-	4. PRJNA281134_3|5. PRJNA322593 o PRJNA323485_9
NM_008426	0+2-	4. PRJNA281134_4|4. PRJNA281134_3
MSTRG.12001.1	2+0-	5. PRJNA322593 o PRJNA323485_9|5. PRJNA322593 o PRJNA323485_10
NM_008761	1+1-	9.PRJNA322294_5|5. PRJNA322593 o PRJNA323485_10
MSTRG.2969.10	2+0-	5. PRJNA322593 o PRJNA323485_9|5. PRJNA322593 o PRJNA323485_10
NM_008615	1+1-	multi_mus_PRJNA398031_4|5. PRJNA322593 o PRJNA323485_9
MSTRG.13463.1	0+2-	4. PRJNA281134_4|4. PRJNA281134_3
NM_001081307	1+1-	4. PRJNA281134_4|multi_mus_PRJNA398031_4
NM_001170433	0+2-	multi_mus_PRJNA398031_4|4. PRJNA281134_3
MSTRG.4572.4	1+1-	multi_mus_PRJNA398031_4|5. PRJNA322593 o PRJNA323485_9
NM_146067	0+2-	multi_mus_PRJNA398031_4|4. PRJNA281134_3
MSTRG.16393.4	2+0-	5. PRJNA322593 o PRJNA323485_9|5. PRJNA322593 o PRJNA323485_10
NM_146137	0+2-	multi_mus_PRJNA398031_4|9.PRJNA322294_5
NM_001291443	1+1-	multi_mus_PRJNA398031_4|9.PRJNA322294_5
MSTRG.15433.1	2+0-	multi_mus_PRJNA398031_4|9.PRJNA322294_5
MSTRG.14527.5	0+2-	5. PRJNA322593 o PRJNA323485_9|5. PRJNA322593 o PRJNA323485_10
MSTRG.9209.2	1+1-	9.PRJNA322294_5|4. PRJNA281134_3
NM_177388	1+1-	4. PRJNA281134_4|multi_mus_PRJNA398031_4
NM_133772	1+1-	multi_mus_PRJNA398031_4|5. PRJNA322593 o PRJNA323485_9
NM_001204166	1+1-	4. PRJNA281134_3|5. PRJNA322593 o PRJNA323485_9
NM_001077190	0+2-	multi_mus_PRJNA398031_4|9.PRJNA322294_5
NM_027475	0+2-	4. PRJNA281134_4|multi_mus_PRJNA398031_4
NM_153406	0+2-	multi_mus_PRJNA398031_4|4. PRJNA281134_3
MSTRG.2142.3	1+1-	4. PRJNA281134_4|4. PRJNA281134_3
NM_146054	1+1-	multi_mus_PRJNA398031_4|9.PRJNA322294_5
MSTRG.20873.1	2+0-	multi_mus_PRJNA398031_4|5. PRJNA322593 o PRJNA323485_9
NM_172730	2+0-	5. PRJNA322593 o PRJNA323485_9|5. PRJNA322593 o PRJNA323485_10
NM_172858	0+2-	multi_mus_PRJNA398031_4|5. PRJNA322593 o PRJNA323485_9
NM_011297	0+2-	4. PRJNA281134_4|multi_mus_PRJNA398031_4
MSTRG.18306.1	2+0-	4. PRJNA281134_4|multi_mus_PRJNA398031_4
MSTRG.23155.10	1+1-	4. PRJNA281134_4|4. PRJNA281134_3
MSTRG.12325.1	1+1-	4. PRJNA281134_3|mus_PRJNA293822_27
NM_001042484	0+2-	4. PRJNA281134_4|multi_mus_PRJNA398031_4
