"t_id","id","feature","fc","pval","qval","chr","strand","start","end","t_name","num_exons","length","gene_id","gene_name"
4827,"MSTRG.1783","gene",3.64381503172624,0.00970724211017582,0.22577463908018,"chr1","+",166254260,166318458,"MSTRG.1783.3",7,9384,"MSTRG.1783","."
4963,"MSTRG.1847","gene",2.15807808504679,0.0136949620785585,0.271104833142763,"chr1","-",171050974,171060549,"MSTRG.1847.1",7,1678,"MSTRG.1847","."
6869,"MSTRG.2554","gene",-2.13702578002778,0.0109432312231073,0.241415946605002,"chr10","-",29339756,29356975,"MSTRG.2554.6",2,16724,"MSTRG.2554","."
7002,"MSTRG.2619","gene",7.60757040974882,0.000344959814641221,0.0340774640419471,"chr10","+",36506807,36834394,"NM_001253356",5,3036,"MSTRG.2619","Hs3st5"
7727,"MSTRG.2906","gene",-3.98678760917788,0.0137837563057568,0.27153191490886,"chr10","+",62920635,62946496,"MSTRG.2906.2",8,3077,"MSTRG.2906","."
7799,"MSTRG.2927","gene",-3.35048977281892,0.00641920240428662,0.186670961691755,"chr10","+",63969084,63975557,"MSTRG.2927.4",2,5826,"MSTRG.2927","."
8026,"MSTRG.3027","gene",-4.50919637997563,0.0112797565794374,0.246412243324782,"chr10","+",75212046,75312467,"MSTRG.3027.1",16,6057,"MSTRG.3027","."
9380,"MSTRG.3529","gene",5.56752330323247,0.0440498106188587,0.450934468625571,"chr10","+",98914618,99026150,"MSTRG.3529.3",22,7181,"MSTRG.3529","."
14893,"MSTRG.5496","gene",-3.14915439258776,5.18016198598481e-05,0.0133837454387896,"chr11","-",88967304,89060795,"MSTRG.5496.1",12,7702,"MSTRG.5496","."
17247,"MSTRG.6295","gene",2.10818531279021,0.013646139267207,0.270841089977475,"chr12","+",3806513,3900637,"MSTRG.6295.3",15,2990,"MSTRG.6295","."
17285,"MSTRG.6308","gene",-2.23598529085166,0.028878091846525,0.383328290000472,"chr12","-",4244953,4476721,"MSTRG.6308.1",23,9870,"MSTRG.6308","."
19300,"MSTRG.7107","gene",2.07996442567425,0.00357222482833497,0.135343893122,"chr12","+",82168674,82452076,"MSTRG.7107.2",24,8739,"MSTRG.7107","."
19800,"MSTRG.7225","gene",-2.13845720738348,0.0197546802677528,0.321632711466188,"chr12","-",90724558,90739055,"MSTRG.7225.3",2,6579,"MSTRG.7225","."
19872,"MSTRG.7258","gene",2.14688616307068,0.0263491611195863,0.367616390622876,"chr12","+",98628142,98669819,"NM_001289572",11,1975,"MSTRG.7258","Spata7"
23408,"MSTRG.8542","gene",-2.02003651566427,0.0244853327680667,0.356639485434405,"chr13","+",69532886,69634319,"MSTRG.8542.1",19,3671,"MSTRG.8542","."
24279,"MSTRG.8851","gene",2.69735667336395,0.0196529487305734,0.321632711466188,"chr13","-",100697025,100730942,"NM_009874",12,7597,"MSTRG.8851","Cdk7"
26698,"MSTRG.9693","gene",-3.97208620987609,0.0402081872408036,0.433197269911945,"chr14","+",55015423,55024133,"MSTRG.9693.3",11,1235,"MSTRG.9693","."
29898,"MSTRG.10942","gene",-4.93648766771387,0.00930648768122477,0.223672025039812,"chr15","-",66064109,66208850,"MSTRG.10942.3",2,42424,"MSTRG.10942","."
31169,"MSTRG.11387","gene",2.34768170095935,0.000430780161710498,0.0393709623985071,"chr15","+",85336251,85465325,"MSTRG.11387.2",11,3935,"MSTRG.11387","."
35009,"MSTRG.12730","gene",-2.96374882319771,0.0143574926560786,0.276747365616091,"chr16","-",85551904,85553942,"MSTRG.12730.2",2,1730,"MSTRG.12730","."
35204,"MSTRG.12809","gene",7.71666254511699,0.000101856232016084,0.0184963263561717,"chr16","+",91647849,91679285,"MSTRG.12809.11",11,15420,"MSTRG.12809","."
35254,"MSTRG.12797","gene",2.16082816782184,0.0307383032068089,0.392175789588012,"chr16","+",92058000,92089612,"MSTRG.12797.2",2,12943,"MSTRG.12797","."
36427,"MSTRG.13186","gene",-3.6315925218214,0.0304347887797569,0.38979159890947,"chr17","+",23790301,23824740,"MSTRG.13186.3",15,10862,"MSTRG.13186","."
38198,"MSTRG.13715","gene",-2.93790415643808,0.0228564143254969,0.345614346634779,"chr17","-",42792951,42876424,"NM_009847",18,5399,"MSTRG.13715","Cd2ap"
46274,"MSTRG.16825","gene",2.11992952041833,0.00601461580080287,0.180474453879756,"chr2","+",22554515,22590201,"MSTRG.16825.6",2,255,"MSTRG.16825","."
47560,"MSTRG.17182","gene",-2.22434709980722,0.0497891929283008,0.472629309872189,"chr2","+",35558365,35730994,"MSTRG.17182.3",17,5614,"MSTRG.17182","."
48209,"MSTRG.17379","gene",-2.90062383736547,0.00535194445723031,0.171198509006879,"chr2","+",62147348,62326731,"MSTRG.17379.10",25,6827,"MSTRG.17379","."
48299,"MSTRG.17418","gene",3.01509718487352,0.00440716682407238,0.15339452404511,"chr2","+",65845329,66031546,"MSTRG.17418.4",7,10659,"MSTRG.17418","."
49883,"MSTRG.17915","gene",4.19495242878398,0.0236100283905909,0.351790625157339,"chr2","-",106962529,106974397,"NM_001025102",5,3308,"MSTRG.17915","Arl14ep"
51393,"MSTRG.18489","gene",2.39239763339051,0.000556745287025207,0.0439992525363744,"chr2","+",140170591,140203646,"MSTRG.18489.2",12,1255,"MSTRG.18489","."
53414,"MSTRG.19225","gene",2.51267657622515,0.0192776053033779,0.317814899388378,"chr2","-",180680954,180709999,"NM_001291432",6,4717,"MSTRG.19225","Dido1"
54776,"MSTRG.19804","gene",-2.12322630284489,0.0308624146132555,0.392517670736134,"chr3",".",54481415,54482348,"MSTRG.19804.1",1,934,"MSTRG.19804","."
55070,"MSTRG.19944","gene",2.10981964513196,0.0212138052942619,0.330995689076849,"chr3","-",62466647,62506998,"MSTRG.19944.1",25,6938,"MSTRG.19944","."
56669,"MSTRG.20500","gene",-2.45627079564916,0.0347283256060922,0.406345243212479,"chr3","+",97658266,97674189,"MSTRG.20500.2",8,5420,"MSTRG.20500","."
61129,"MSTRG.22196","gene",-2.06195352963109,0.00531498463355495,0.170829709454093,"chr4","-",91250729,91376489,"MSTRG.22196.5",5,7123,"MSTRG.22196","."
63029,"MSTRG.22833","gene",2.02920040649875,0.0459721443117762,0.457562385603006,"chr4","-",131936859,131962988,"MSTRG.22833.9",3,848,"MSTRG.22833","."
65924,"MSTRG.23900","gene",-2.75154781301684,0.0052104716140835,0.16835213469811,"chr5","+",33722302,33737061,"MSTRG.23900.6",15,4298,"MSTRG.23900","."
66319,"MSTRG.24033","gene",2.68510523112869,0.0236527310771342,0.351790625157339,"chr5","-",41624922,41708179,"MSTRG.24033.3",8,1809,"MSTRG.24033","."
66328,"MSTRG.24038","gene",3.09611443732943,0.0155907051791352,0.284593918589241,"chr5","-",41786784,41844248,"MSTRG.24038.4",27,10498,"MSTRG.24038","."
67094,"MSTRG.24355","gene",2.28899520219886,0.0280789380648827,0.376863669232467,"chr5","+",76588674,76616955,"MSTRG.24355.2",14,2074,"MSTRG.24355","."
