"t_id","id","feature","fc","pval","qval","chr","strand","start","end","t_name","num_exons","length","gene_id","gene_name"
1008,"MSTRG.280","gene",-15.4293530596441,0.00248219685044182,0.0341300824861321,"chr1","+",52119481,52161523,"MSTRG.280.7",25,4746,"MSTRG.280","."
3653,"MSTRG.980","gene",-3.19144838761446,0.0398369777324572,0.178041503206101,"chr1","+",153749133,153764366,"MSTRG.980.2",8,7447,"MSTRG.980","."
3755,"MSTRG.1007","gene",-2.08259222843021,0.000418543002131511,0.0121443814654912,"chr1","-",156356426,156366532,"MSTRG.1007.1",2,289,"MSTRG.1007","."
3810,"MSTRG.1025","gene",11.8478363334606,0.0154688070255335,0.0999805511185445,"chr1","-",158245269,158356260,"NM_207583",8,4101,"MSTRG.1025","Brinp2"
3873,"MSTRG.1040","gene",-3.69911217299597,0.00195104788935307,0.0293253273239896,"chr1","-",161017756,161034259,"NM_173424",4,3883,"MSTRG.1040","Zbtb37"
3973,"MSTRG.1064","gene",-5.82749673976845,0.0178834787067211,0.109113668634049,"chr1","-",162829576,162851544,"MSTRG.1064.4",7,2051,"MSTRG.1064","."
4003,"MSTRG.1076","gene",-3.63562533605338,0.000369434552802472,0.0113048740786996,"chr1","-",163954008,163994781,"NM_201364",24,2910,"MSTRG.1076","BC055324"
4217,"MSTRG.1154","gene",-2.35052599524398,0.000324001686379916,0.0102445283103745,"chr1",".",170958511,170959473,"MSTRG.1154.1",1,963,"MSTRG.1154","."
4219,"MSTRG.1155","gene",-5.36277714350535,3.25342513625149e-05,0.00290552717930582,"chr1","-",170960559,170976071,"NM_010187",7,1405,"MSTRG.1155","Fcgr2b"
4278,"MSTRG.1174","gene",-14.0089842827249,0.00559464095189388,0.0549624058492125,"chr1","-",171281945,171295169,"MSTRG.1174.2",19,3937,"MSTRG.1174","."
4308,"MSTRG.1173","gene",-12.2248625064009,0.000874844865162205,0.0186813700672617,"chr1","+",171388960,171410239,"NM_001005508",12,4487,"MSTRG.1173","Arhgap30"
4321,"MSTRG.1182","gene",-2.62535754324044,0.000113643901276106,0.00542470931384884,"chr1","+",171437444,171464791,"MSTRG.1182.1",8,3760,"MSTRG.1182","."
4331,"MSTRG.1185","gene",-2.52957972155272,0.000259610917118902,0.00895062868158457,"chr1","-",171588613,171607410,"NM_001277968",9,2169,"MSTRG.1185","Ly9"
4349,"MSTRG.1190","gene",-2.47452291682371,0.0040829057153462,0.0457572356588287,"chr1","+",171917537,171943868,"NM_030710",8,2443,"MSTRG.1190","Slamf6"
4355,"MSTRG.1194","gene",-3.5719711884897,0.0047099634073513,0.0497893735069674,"chr1","-",172066002,172082527,"MSTRG.1194.1",17,2934,"MSTRG.1194","."
4395,"MSTRG.1211","gene",-3.29071112610155,0.000448661546206486,0.0124757170381025,"chr1","+",172482213,172498877,"NM_001145800",21,4135,"MSTRG.1211","Igsf9"
4436,"MSTRG.1228","gene",-4.30081412426848,0.0201429115149798,0.117486539529461,"chr1","-",173466076,173491302,"MSTRG.1228.2",7,5352,"MSTRG.1228","."
4447,"MSTRG.1219","gene",-7.64041844222521,0.000211816582352919,0.00789896765270027,"chr1","+",173630836,173647928,"MSTRG.1219.1",6,4762,"MSTRG.1219","."
