"id","feature","fc","pval","qval","chr","strand","start","end","t_name","num_exons","length","gene_id","gene_name"
"10738","transcript",-3.156471136984,0.0325854649694792,0.921331867886964,"chr11","-",55394159,55420080,"NM_009242",10,2641,"MSTRG.3107","Sparc"
"10740","transcript",4.39480824302916,0.0305037228436702,0.921331867886964,"chr11","-",55394451,55420313,"MSTRG.3107.4",11,2359,"MSTRG.3107","."
"11525","transcript",-5.45448535641267,0.0392739713981507,0.921331867886964,"chr11","+",68901589,68904534,"NR_003373",4,520,"MSTRG.3303","Gm15772"
"11735","transcript",2.01465677795123,0.0457807993471406,0.921331867886964,"chr11","-",69823077,69838019,"MSTRG.3371.1",8,5848,"MSTRG.3371","."
"11856","transcript",-5.36981154706717,0.0293842854775933,0.921331867886964,"chr11","-",70238123,70239852,"NM_173742",3,622,"MSTRG.3400","Rnasek"
"1248","transcript",2.27730177379877,0.0256438044504139,0.921331867886964,"chr1","-",59100597,59119806,"NM_001037812",13,1823,"MSTRG.350","Tmem237"
"12530","transcript",2.38984491381913,0.0439386760532441,0.921331867886964,"chr11","-",78180936,78183584,"NM_207523",5,559,"MSTRG.3570","Rpl23a"
"12613","transcript",2.13675621849856,0.0351774976860907,0.921331867886964,"chr11","+",79339892,79581609,"NM_010897",58,11847,"MSTRG.3603","Nf1"
"13080","transcript",2.59314523782048,0.0478296404474117,0.921331867886964,"chr11","-",87979501,87987563,"MSTRG.3753.2",4,2456,"MSTRG.3753","."
"13434","transcript",-2.02313029986841,0.000170044833957994,0.673547587307615,"chr11","-",96907239,96916557,"MSTRG.3852.1",13,2685,"MSTRG.3852","."
"15177","transcript",2.03877995952875,0.0488566443977598,0.921331867886964,"chr11","-",119143057,119228586,"MSTRG.4331.5",13,7109,"MSTRG.4331","."
"15361","transcript",-2.09337258250505,0.0496116988781834,0.921331867886964,"chr11","-",120578104,120581998,"MSTRG.4379.4",5,2372,"MSTRG.4379","."
"15623","transcript",2.20335019223839,0.0362706854684616,0.921331867886964,"chr12","-",3962579,3981490,"MSTRG.4427.13",12,8989,"MSTRG.4427","."
"16371","transcript",2.53648841043902,0.0392630278347842,0.921331867886964,"chr12","+",44328859,44605235,"MSTRG.4670.10",28,10768,"MSTRG.4670","."
"17316","transcript",2.56371706591884,6.03180629141775e-05,0.436778527358489,"chr12","-",81714950,81781170,"NM_001174107",11,10619,"MSTRG.4918","Map3k9"
"18684","transcript",-2.31661137847432,0.00616457599962783,0.921331867886964,"chr12","+",113014417,113074443,"MSTRG.5256.1",25,5646,"MSTRG.5256","."
"18688","transcript",-2.52122891996922,0.00778984161526286,0.921331867886964,"chr12","+",113014508,113074401,"NM_001081170",24,5480,"MSTRG.5256","Pacs2"
"18698","transcript",2.73221716140985,0.0237554998361598,0.921331867886964,"chr12","+",113014540,113074396,"MSTRG.5256.15",25,5550,"MSTRG.5256","."
"20514","transcript",2.28658526868781,0.035376215753181,0.921331867886964,"chr13","+",58806569,59133970,"NM_001282961",18,8711,"MSTRG.5769","Ntrk2"
"21388","transcript",-2.15519823651786,0.0427888467560064,0.921331867886964,"chr13","+",97243638,97253040,"MSTRG.6046.6",3,4133,"MSTRG.6046","."
"23173","transcript",2.16454865877013,0.0146747409821054,0.921331867886964,"chr14",".",48695481,48696270,"MSTRG.6601.1",1,790,"MSTRG.6601","."
"24024","transcript",-2.2512759459754,0.00214228993994858,0.921331867886964,"chr14","-",64122621,64416956,"NM_001253716",6,1193,"MSTRG.6821","Msra"
"24145","transcript",2.29430281322785,0.0477989927149344,0.921331867886964,"chr14","-",67014076,67038009,"MSTRG.6859.3",8,3534,"MSTRG.6859","."
"25067","transcript",2.36998698798488,0.0490290377054989,0.921331867886964,"chr14","-",123276701,123603812,"MSTRG.7128.12",43,6800,"MSTRG.7128","."
"25072","transcript",2.12827828475445,0.0110489299454668,0.921331867886964,"chr14","-",123972228,124677678,"MSTRG.7130.2",6,9878,"MSTRG.7130","."
"25678","transcript",2.23468427445546,0.0235881832836056,0.921331867886964,"chr15","+",41789034,41861047,"NM_001130165",14,4253,"MSTRG.7323","Oxr1"
"25814","transcript",4.45036485198143,0.0172453853803739,0.921331867886964,"chr15","-",54838902,54953021,"MSTRG.7367.12",26,3557,"MSTRG.7367","."
"26073","transcript",2.40048502407932,0.0134596091883036,0.921331867886964,"chr15","-",72693469,73061289,"MSTRG.7445.3",20,3337,"MSTRG.7445","."
"26386","transcript",2.00533360582504,0.0459530829091107,0.921331867886964,"chr15","+",76335051,76338801,"MSTRG.7531.5",2,1351,"MSTRG.7531","."
"26817","transcript",2.21087210545405,0.00457513625459971,0.921331867886964,"chr15","-",79724102,79742083,"MSTRG.7650.9",18,3658,"MSTRG.7650","."
"26989","transcript",2.84339291938251,0.000699553917574924,0.921331867886964,"chr15","+",81744976,81796317,"MSTRG.7699.2",24,4640,"MSTRG.7699","."
"27156","transcript",2.24531645910483,8.25037575868937e-05,0.436778527358489,"chr15","-",83546800,83554373,"MSTRG.7758.6",4,2453,"MSTRG.7758","."
"274","transcript",2.31545431071114,0.00965492980697258,0.921331867886964,"chr1","-",16641707,16657061,"MSTRG.76.3",4,2119,"MSTRG.76","."
"27574","transcript",2.01280171383195,0.0240137251963549,0.921331867886964,"chr15","-",93283900,93337718,"MSTRG.7863.6",5,2346,"MSTRG.7863","."
"27675","transcript",2.53583517915739,0.018928677565238,0.921331867886964,"chr15","-",96571442,96644264,"MSTRG.7906.13",17,8039,"MSTRG.7906","."
"28383","transcript",-3.36146830467791,0.00112477416919565,0.921331867886964,"chr15","+",103239813,103246698,"MSTRG.8067.1",12,3637,"MSTRG.8067","."
"28533","transcript",2.98214550337372,0.0426802167960846,0.921331867886964,"chr16","+",4880374,4938289,"MSTRG.8123.1",17,3130,"MSTRG.8123","."
"28889","transcript",2.95589853211845,0.00987405882236658,0.921331867886964,"chr16","+",13986632,14101024,"MSTRG.8201.2",6,1884,"MSTRG.8201","."
"29138","transcript",-2.04373221351331,0.0213366032216942,0.921331867886964,"chr16","+",17759189,17793383,"MSTRG.8273.3",7,3695,"MSTRG.8273","."
"29154","transcript",-3.53272105060582,0.0322852155391687,0.921331867886964,"chr16","-",17840356,17891728,"NM_001109750",10,4070,"MSTRG.8278","Dgcr2"
"29362","transcript",2.07439704947148,0.0199716166396674,0.921331867886964,"chr16","-",20331304,20426394,"NM_013790",30,5810,"MSTRG.8320","Abcc5"
"2978","transcript",2.35213177319877,0.0222419479117471,0.921331867886964,"chr1","-",132113654,132139723,"MSTRG.818.4",15,2934,"MSTRG.818","."
"29844","transcript",-4.4602503613896,0.0201075531598653,0.921331867886964,"chr16","+",33056453,33060188,"NM_001130485",5,490,"MSTRG.8447","Rpl35a"
"31556","transcript",2.07934181201206,0.0402613389189476,0.921331867886964,"chr17","+",12916430,12943697,"MSTRG.8929.13",13,1939,"MSTRG.8929","."
"32843","transcript",2.35231147402301,0.0283061123527328,0.921331867886964,"chr17","+",28174946,28205886,"MSTRG.9219.7",13,5654,"MSTRG.9219","."
"36080","transcript",-2.441638658645,0.000897682107841025,0.921331867886964,"chr18","-",16587776,16597283,"MSTRG.10059.3",2,6558,"MSTRG.10059","."
"36216","transcript",2.48876332672345,0.0103523542327071,0.921331867886964,"chr18","+",24205994,24286816,"NM_001160404",13,3887,"MSTRG.10090","Galnt1"
"36796","transcript",2.0114027042448,0.0163976303943205,0.921331867886964,"chr18","+",37680458,37841870,"NM_033574",4,4498,"MSTRG.10230","Pcdhgb1"
"37013","transcript",2.75188928492567,0.0100341478946033,0.921331867886964,"chr18","+",45636293,45685855,"MSTRG.10323.6",6,1084,"MSTRG.10323","."
"37245","transcript",-2.46274530570373,0.0142619664414705,0.921331867886964,"chr18","-",60600206,60610104,"NM_001109975",2,4479,"MSTRG.10401","Synpo"
"37713","transcript",2.23671044310652,0.0439183700581985,0.921331867886964,"chr18","-",75431221,75697696,"NM_201354",12,6176,"MSTRG.10545","Ctif"
"3816","transcript",2.1831185090717,0.0426073990365679,0.921331867886964,"chr1","+",158362304,158691786,"NM_001205204",23,7224,"MSTRG.1026","Astn1"
"3817","transcript",-3.53462313935169,0.00815428841470855,0.921331867886964,"chr1","+",158362304,158691786,"NM_007495",23,7200,"MSTRG.1026","Astn1"
"3819","transcript",2.3845590031048,0.0337794793971423,0.921331867886964,"chr1","+",158509825,158691781,"MSTRG.1026.4",18,5811,"MSTRG.1026","."
"38941","transcript",-2.31366950452161,0.0105628510368261,0.921331867886964,"chr19","+",8953850,8966210,"NM_197993",9,2750,"MSTRG.10855","Tut1"
"39543","transcript",2.23768397111448,0.0360159090795733,0.921331867886964,"chr19","+",28762882,28863096,"MSTRG.11033.1",2,605,"MSTRG.11033","."
"39612","transcript",2.0448985623166,7.0673103704344e-05,0.436778527358489,"chr19","+",29522282,29605921,"NM_001081319",26,6282,"MSTRG.11054","Ric1"
"40510","transcript",-2.00998497176042,0.0459770241388906,0.921331867886964,"chr19","+",46152477,46286897,"MSTRG.11267.1",40,6857,"MSTRG.11267","."
"40761","transcript",2.07300104055553,0.0112257611910699,0.921331867886964,"chr19","-",55067637,55127495,"MSTRG.11341.5",20,6200,"MSTRG.11341","."
"41613","transcript",2.49719520057323,0.0202687422533113,0.921331867886964,"chr2","-",22587283,22691890,"MSTRG.11558.2",3,1523,"MSTRG.11558","."
"41626","transcript",2.47511425630028,0.040502176241745,0.921331867886964,"chr2","-",22939989,23040241,"NM_001077190",11,3505,"MSTRG.11558","Abi1"
"41765","transcript",2.31376273622395,0.0258166363374848,0.921331867886964,"chr2","+",25054351,25062936,"MSTRG.11595.21",15,3298,"MSTRG.11595","."
"419","transcript",8.54208153038524,0.0262348541505453,0.921331867886964,"chr1","+",24576118,24616191,"MSTRG.129.9",3,1806,"MSTRG.129","."
"422","transcript",12.6439034360342,0.00322186030601967,0.921331867886964,"chr1","+",24611508,24616188,"MSTRG.129.11",3,2776,"MSTRG.129","."
"426","transcript",3.34515607381279,0.0395228733934884,0.921331867886964,"chr1","+",24611532,24616193,"MSTRG.129.14",2,1370,"MSTRG.129","."
"42725","transcript",2.34062223613507,0.0412828946720774,0.921331867886964,"chr2","-",32308462,32353347,"MSTRG.11791.18",22,3275,"MSTRG.11791","."
"43027","transcript",2.12529908669327,0.0357240872024023,0.921331867886964,"chr2","+",35622029,35730949,"MSTRG.11858.22",17,5576,"MSTRG.11858","."
"43885","transcript",-2.02433344783754,0.0280157885299464,0.921331867886964,"chr2","-",73610660,73775346,"NM_001113246",13,4050,"MSTRG.12063","Chn1"
"4583","transcript",2.83123505943384,0.0176799312616824,0.921331867886964,"chr1","+",177442350,177450806,"MSTRG.1243.6",4,3970,"MSTRG.1243","."
"46296","transcript",2.36931257669094,1.22933415860338e-05,0.292163556133679,"chr2","-",136697776,136782192,"MSTRG.12661.12",3,371,"MSTRG.12661","."
"47711","transcript",2.18563715107346,0.00593570244823294,0.921331867886964,"chr2","-",166073912,166154841,"MSTRG.13021.8",22,3813,"MSTRG.13021","."
"48421","transcript",2.00419194365278,0.0160208790629193,0.921331867886964,"chr2","+",180966974,180992508,"MSTRG.13196.1",15,9617,"MSTRG.13196","."
"48526","transcript",-2.13572338194667,0.0179826662998386,0.921331867886964,"chr2","-",181582091,181592769,"MSTRG.13218.5",16,5552,"MSTRG.13218","."
"48528","transcript",2.15548782106689,0.0297945919238516,0.921331867886964,"chr2","-",181582103,181592865,"MSTRG.13218.6",15,5733,"MSTRG.13218","."
"48678","transcript",2.83136226514253,0.0341634955679414,0.921331867886964,"chr3","-",11013505,11015193,"MSTRG.13263.1",1,1689,"MSTRG.13263","."
"48826","transcript",2.19468948329024,0.0497344583544508,0.921331867886964,"chr3","+",22076774,22216560,"MSTRG.13323.7",15,7868,"MSTRG.13323","."
"49080","transcript",-2.09629460213442,0.0251296997216741,0.921331867886964,"chr3","+",35754093,35856276,"MSTRG.13403.11",31,5086,"MSTRG.13403","."
"49082","transcript",2.19185088600987,0.0418569026715172,0.921331867886964,"chr3","+",35754106,35856276,"MSTRG.13403.12",31,5035,"MSTRG.13403","."
"49095","transcript",2.07330011684901,0.00234115227298792,0.921331867886964,"chr3","-",35892162,35932271,"MSTRG.13404.10",7,4102,"MSTRG.13404","."
"51619","transcript",2.16063864423913,0.0137678441780753,0.921331867886964,"chr3","+",108591285,108645734,"MSTRG.14125.9",15,4680,"MSTRG.14125","."
"51926","transcript",2.55088212581768,0.00186106041430767,0.921331867886964,"chr3","+",126596995,126846322,"MSTRG.14229.15",20,5542,"MSTRG.14229","."
"5245","transcript",2.31609222911706,0.029831605220788,0.921331867886964,"chr10","-",5021057,5368782,"MSTRG.1520.31",132,28166,"MSTRG.1520","."
"5487","transcript",2.21891516042651,0.0110167769634943,0.921331867886964,"chr10","+",13967141,14151378,"MSTRG.1531.21",10,9801,"MSTRG.1531","."
"55735","transcript",-2.00665113925355,0.029542268398455,0.921331867886964,"chr4","+",124741088,124801511,"MSTRG.15286.1",23,4938,"MSTRG.15286","."
"56379","transcript",2.95774438148928,0.00710094811173301,0.921331867886964,"chr4","-",133292479,133339342,"MSTRG.15459.6",15,4042,"MSTRG.15459","."
"56883","transcript",2.40746921498226,0.0215359931131789,0.921331867886964,"chr4","+",138453685,138460259,"MSTRG.15561.4",3,5112,"MSTRG.15561","."
"57185","transcript",-2.11696593244794,0.0150001887762239,0.921331867886964,"chr4","-",143107391,143212709,"NM_001081355",10,7308,"MSTRG.15639","Prdm2"
"58059","transcript",3.64536323309386,0.0244353265179198,0.921331867886964,"chr4","+",155992843,156013610,"NM_011341",7,5245,"MSTRG.15847","Sdf4"
"59494","transcript",-2.33097392234953,0.0452206916628032,0.921331867886964,"chr5","-",36600441,36696328,"MSTRG.16228.16",10,7166,"MSTRG.16228","."
"59791","transcript",2.55722877096128,0.0166327565327267,0.921331867886964,"chr5","-",62602446,62766177,"NM_178407",33,7362,"MSTRG.16330","Arap2"
"60128","transcript",2.07732644962402,0.0494890182652429,0.921331867886964,"chr5","+",76657680,76873669,"MSTRG.16432.7",11,7297,"MSTRG.16432","."
"61588","transcript",2.01884610530963,0.0136765114375913,0.921331867886964,"chr5","-",115241770,115272895,"NM_001302449",17,3109,"MSTRG.16756","Rnf10"
"61701","transcript",7.93727701462199,0.0159800081748951,0.921331867886964,"chr5","-",117282651,117287564,"NM_018858",4,1182,"MSTRG.16789","Pebp1"
"63078","transcript",3.17086171568918,0.000375309596769346,0.921331867886964,"chr5","-",139471220,139480365,"MSTRG.17158.4",5,4266,"MSTRG.17158","."
"64960","transcript",2.96793104516543,0.0138128037457724,0.921331867886964,"chr6","+",54429773,54503795,"MSTRG.17722.6",7,4094,"MSTRG.17722","."
"64961","transcript",2.63684238871648,0.0157771879527648,0.921331867886964,"chr6","+",54429773,54503804,"MSTRG.17722.5",8,4205,"MSTRG.17722","."
"65098","transcript",2.01579392450598,0.00417726429634091,0.921331867886964,"chr6","+",58831445,58920398,"MSTRG.17762.4",26,4992,"MSTRG.17762","."
"65632","transcript",-2.80721946798981,0.0193008050528704,0.921331867886964,"chr6","-",85469576,85502994,"NM_001289675",13,6497,"MSTRG.17930","Fbxo41"
"65634","transcript",2.10282358854742,0.0170872537225817,0.921331867886964,"chr6","-",85469590,85503022,"MSTRG.17930.8",13,6427,"MSTRG.17930","."
