"id","feature","fc","pval","qval","chr","strand","start","end","t_name","num_exons","length","gene_id","gene_name"
"10009","transcript",2.21092903254094,0.0492974624545084,0.80776220972651,"chr10","-",121546456,121586794,"NM_019786",21,3030,"MSTRG.3756","Tbk1"
"10141","transcript",2.31784162171048,0.0101166077267365,0.573705040929549,"chr10","+",127078907,127093170,"NM_001301014",18,5574,"MSTRG.3801","Agap2"
"10805","transcript",2.40653977709404,0.00597744063354977,0.46745108263915,"chr11","-",5069687,5099088,"NM_007968",17,2412,"MSTRG.4003","Ewsr1"
"11520","transcript",2.27485479861025,0.00946726970517187,0.56415664486799,"chr11","+",29692929,29742933,"MSTRG.4282.5",8,5471,"MSTRG.4282","."
"11589","transcript",-2.02678131093592,0.0331321656892167,0.74168589856544,"chr11","-",30976707,30986365,"NM_001290667",2,1294,"MSTRG.4320","Chac2"
"12095","transcript",-2.13491793615254,0.0376018390361215,0.767964214536599,"chr11","+",50131335,50172541,"MSTRG.4521.2",21,5277,"MSTRG.4521","."
"12097","transcript",2.24395681011929,0.0197981485819818,0.696291771665102,"chr11","+",50131360,50172785,"NM_001290760",22,5249,"MSTRG.4521","Tbc1d9b"
"12257","transcript",-2.34316538413674,0.0298085799254593,0.740306143033357,"chr11","+",51763663,51791953,"NM_025535",7,1253,"MSTRG.4567","Sar1b"
"13799","transcript",2.39459087591135,0.0109599584544022,0.591909390253109,"chr11","+",72607261,72686481,"NM_025985",6,3837,"MSTRG.5135","Ube2g1"
"14225","transcript",2.47812945849039,0.0192053984169385,0.693185856851048,"chr11","-",78206749,78245703,"NM_009297",37,6201,"MSTRG.5234","Supt6"
"14337","transcript",-2.28121780626985,0.0122644072590783,0.620453860296514,"chr11","+",79591132,79699376,"MSTRG.5281.1",15,8520,"MSTRG.5281","."
"14341","transcript",2.50753871957547,0.0291254981469672,0.740306143033357,"chr11","+",79660508,79697998,"MSTRG.5281.4",13,7011,"MSTRG.5281","."
"14840","transcript",2.11311844546951,0.0165218169686454,0.684726887509535,"chr11","-",87979503,87987535,"MSTRG.5471.2",4,2426,"MSTRG.5471","."
"14899","transcript",-2.24006299125528,0.00130239347493144,0.265650347907528,"chr11","-",89035180,89060797,"MSTRG.5496.3",10,9273,"MSTRG.5496","."
"16003","transcript",2.0724650354142,0.0216571792671755,0.705705582278628,"chr11","+",104231436,104332089,"NM_001038609",12,5380,"MSTRG.5846","Mapt"
"16206","transcript",3.3658637682123,0.0450694112733785,0.787767963160257,"chr11","-",106780460,106789255,"MSTRG.5951.5",14,3938,"MSTRG.5951","."
"17012","transcript",-3.50623394538758,0.00337570493168382,0.380365225234137,"chr11","+",120484669,120488754,"NM_027204",5,949,"MSTRG.6240","Mrpl12"
"18220","transcript",2.09681392698199,0.0452456405615422,0.787767963160257,"chr12","+",44328911,44605197,"MSTRG.6755.9",31,10949,"MSTRG.6755","."
"19799","transcript",-2.96572993893084,0.00115468041761735,0.253082306497621,"chr12","-",90724552,90738438,"NM_010050",2,5815,"MSTRG.7225","Dio2"
"19888","transcript",2.41029134479033,0.0321914494884252,0.74168589856544,"chr12","+",98746968,98787774,"NM_001008506",15,3163,"MSTRG.7302","Zc3h14"
"22711","transcript",-2.18399196425743,0.00370063553351541,0.39047544742958,"chr13","+",55321996,55325303,"MSTRG.8306.1",4,1261,"MSTRG.8306","."
"22713","transcript",3.69164629633413,0.00398091444842952,0.401149952285038,"chr13","+",55322055,55325272,"NM_025596",5,1089,"MSTRG.8306","Prelid1"
"22785","transcript",-2.42087524775572,0.0056605698431732,0.457187001186361,"chr13","+",55634998,55674351,"MSTRG.8324.2",16,4318,"MSTRG.8324","."
"23610","transcript",-2.01898303992877,0.0170682679081227,0.685746018110944,"chr13","+",76579541,77033495,"MSTRG.8615.5",20,5845,"MSTRG.8615","."
"2367","transcript",-2.05579069573099,0.0357923058317478,0.761268035944564,"chr1","+",78657825,78707743,"NM_001033606",15,3810,"MSTRG.830","Acsl3"
"24067","transcript",-2.21415214306143,0.000642073562601819,0.192940512690745,"chr13","+",96542735,96640167,"NM_023420",18,5363,"MSTRG.8777","Col4a3bp"
"25622","transcript",2.52918067557544,0.0423043428929514,0.775669419008456,"chr14","-",26918988,26970551,"NM_145221",22,6961,"MSTRG.9365","Appl1"
"2568","transcript",2.02120030547222,0.0149244378898847,0.663725449219044,"chr1","-",84720316,84839470,"MSTRG.995.1",34,13468,"MSTRG.995","."
"2569","transcript",-2.36629581435412,0.00351594398254229,0.38547331813853,"chr1","-",84720330,84848840,"MSTRG.995.3",42,19148,"MSTRG.995","."
"2586","transcript",2.57040949325997,0.02307731091076,0.705705582278628,"chr1","-",84743819,84839328,"MSTRG.995.23",29,7768,"MSTRG.995","."
"26698","transcript",-2.07509155896411,0.0174339546384537,0.690425452327051,"chr14","+",55015423,55024133,"MSTRG.9693.3",11,1235,"MSTRG.9693","."
"28472","transcript",-2.26838951150802,0.0201317626672362,0.696991989885638,"chr14","-",123978291,124192546,"NM_010201",5,2824,"MSTRG.10349","Fgf14"
"30431","transcript",-2.65360883816842,0.00396868339305345,0.401149952285038,"chr15","+",76660042,76668212,"MSTRG.11116.2",19,3129,"MSTRG.11116","."
"30728","transcript",-3.26375981841081,0.00650389157024511,0.485617373900018,"chr15","-",79527696,79532917,"NM_152806",2,4068,"MSTRG.11202","Ddx17"
