"id","feature","fc","pval","qval","chr","strand","start","end","t_name","num_exons","length","gene_id","gene_name"
"10008","transcript",2.03335002753738,0.00102679540453887,0.0108067636919834,"chr10","-",121545434,121626753,"MSTRG.3756.1",44,11196,"MSTRG.3756","."
"10009","transcript",-4.01751613806551,0.00112919929971944,0.0115035144798508,"chr10","-",121546456,121586794,"NM_019786",21,3030,"MSTRG.3756","Tbk1"
"10014","transcript",-2.17045858495062,0.00333087616945416,0.0249067102253209,"chr10","-",121587429,121626507,"MSTRG.3756.7",25,6055,"MSTRG.3756","."
"10069","transcript",-2.04754110235109,0.000173886324767447,0.00288247670833728,"chr10","+",123264076,123741204,"NM_182807",6,4364,"MSTRG.3763","Fam19a2"
"10079","transcript",-2.04417248953551,0.000171435016019905,0.00285355047265622,"chr10","-",125219087,125390754,"MSTRG.3768.2",9,12272,"MSTRG.3768","."
"10118","transcript",2.18876426863398,0.00214022142860659,0.0182046906249595,"chr10","-",127022321,127041650,"MSTRG.3786.1",7,1301,"MSTRG.3786","."
"10119","transcript",-2.02916975174423,0.00683089522013514,0.0414944245767396,"chr10","-",127022332,127030814,"NM_025537",6,1180,"MSTRG.3786","Tsfm"
"10131","transcript",-2.54440959662645,0.000116738327413879,0.00214966144427746,"chr10","+",127063603,127067282,"NM_009870",8,1346,"MSTRG.3796","Cdk4"
"10139","transcript",-2.41323825077884,0.0300988030252589,0.115510130214998,"chr10","+",127078612,127093179,"MSTRG.3801.1",18,7472,"MSTRG.3801","."
"10166","transcript",-2.24007808310006,0.0174469014430543,0.0799253571823377,"chr10","-",127182521,127190054,"NM_028027",16,2261,"MSTRG.3810","Arhgef25"
"10174","transcript",2.61707816480797,0.000742216190391054,0.00847733193225323,"chr10","-",127196870,127211719,"MSTRG.3814.1",9,3836,"MSTRG.3814","."
"10176","transcript",-2.82850419500302,0.00829488819573387,0.0473212773275527,"chr10","-",127197067,127211622,"NM_054097",10,3374,"MSTRG.3814","Pip4k2c"
"10192","transcript",2.28482878703057,4.55195803590325e-05,0.00105429462125589,"chr10","+",127288553,127296386,"MSTRG.3818.1",5,1656,"MSTRG.3818","."
"10195","transcript",-4.18572873894697,2.46887050168176e-05,0.000651910903712047,"chr10","+",127290793,127296288,"NM_007837",4,871,"MSTRG.3818","Ddit3"
"10243","transcript",3.16798542324879,0.000193084612861272,0.00309899707815934,"chr10","-",127538090,127620992,"MSTRG.3847.1",83,15291,"MSTRG.3847","."
"10244","transcript",-2.85895822559689,1.00383064782772e-05,0.000319328804505826,"chr10","-",127538158,127621148,"NM_008512",89,14891,"MSTRG.3847","Lrp1"
"10247","transcript",2.68689913479449,4.15866184722002e-05,0.000988951080017554,"chr10","-",127660878,127666818,"MSTRG.3828.1",5,2623,"MSTRG.3828","."
"10250","transcript",-2.30967652411015,0.000520466423236665,0.00658558856784469,"chr10","-",127660918,127666703,"NM_008668",7,2575,"MSTRG.3828","Nab2"
"10277","transcript",6.21560772006016,2.86956525208382e-09,3.90150506389088e-07,"chr10","+",128035346,128048637,"NM_001113199",9,7034,"MSTRG.3838","Naca"
"10279","transcript",-27.026186264298,9.79755165886331e-10,1.8228602691622e-07,"chr10","+",128035346,128048637,"NM_013608",8,1118,"MSTRG.3838","Naca"
"10281","transcript",-3.43839369504453,0.014034755551606,0.0684787589716044,"chr10","+",128058982,128077254,"NM_019766",8,1954,"MSTRG.3839","Ptges3"
"10282","transcript",6.40083168465215,2.08334820023248e-05,0.000565966254587652,"chr10","+",128058999,128077380,"MSTRG.3839.3",8,2798,"MSTRG.3839","."
"10356","transcript",2.30402888462434,0.000130437091323321,0.00232582657164156,"chr10","+",128411626,128439408,"MSTRG.3856.8",5,2733,"MSTRG.3856","."
"10394","transcript",2.74927446939649,0.00709001697730582,0.0424440474424659,"chr10","-",128557698,128566036,"MSTRG.3859.1",11,2682,"MSTRG.3859","."
"10395","transcript",-3.22287324125824,0.00375934730554572,0.0270707573390561,"chr10","-",128557766,128565934,"NM_011119",12,2432,"MSTRG.3859","Pa2g4"
"10503","transcript",4.94832377898735,3.07796010901029e-11,2.12993380114728e-08,"chr10","+",129664905,129665509,"MSTRG.3889.1",1,605,"MSTRG.3889","."
"10610","transcript",-2.36684076416229,0.00355333575678041,0.0260900235396884,"chr11","+",3202899,3244575,"MSTRG.3948.9",18,3488,"MSTRG.3948","."
"10628","transcript",-2.13729989582412,0.0127805536082426,0.0644152657353592,"chr11","-",3343297,3371392,"NM_173053",15,4668,"MSTRG.3953","Limk2"
"10629","transcript",-2.37221608413817,0.0016209581516019,0.0149172458598444,"chr11","-",3343297,3409238,"NM_010718",16,4537,"MSTRG.3953","Limk2"
"10632","transcript",2.74366673592275,3.04927837224689e-06,0.000125616818650783,"chr11","-",3415777,3435350,"MSTRG.3954.1",7,2856,"MSTRG.3954","."
"10633","transcript",-2.54779966967066,1.97732643010262e-05,0.000545175602352784,"chr11","-",3415973,3452956,"NM_001290472",7,3389,"MSTRG.3954","Rnf185"
"10644","transcript",-2.31365007641476,1.92939482501764e-07,1.29912584884521e-05,"chr11","+",3452483,3458342,"NR_045276",2,1838,"MSTRG.3955","8430429K09Rik"
"10651","transcript",-2.82582290833061,0.00057189604731267,0.00706562700655409,"chr11","+",3514702,3517351,"NM_053267",5,872,"MSTRG.3957","Selm"
"10682","transcript",-2.1071878306881,0.00864189236312496,0.0486935078759063,"chr11","-",3703747,3762171,"MSTRG.3943.11",13,3424,"MSTRG.3943","."
"10692","transcript",2.08403961507004,0.00241117832717253,0.0198417238968371,"chr11","+",3963870,3982237,"MSTRG.3935.1",13,5720,"MSTRG.3935","."
"10694","transcript",-2.81393586627761,0.00176678200622926,0.0158266059981513,"chr11","+",3963975,3980004,"NM_022889",15,2911,"MSTRG.3935","Pes1"
"10738","transcript",-2.20390564483107,0.0343886932641025,0.126448088091122,"chr11","-",4480873,4594866,"MSTRG.3974.6",19,5831,"MSTRG.3974","."
"10769","transcript",2.19760708207843,0.000533997902676164,0.00671474463658601,"chr11","+",4894739,4929129,"MSTRG.3994.1",21,3139,"MSTRG.3994","."
"10771","transcript",-3.15326169351489,0.000241207070091898,0.00368123904058223,"chr11","+",4895343,4928865,"NM_172438",20,2235,"MSTRG.3994","Thoc5"
"10783","transcript",4.23056422051022,0.000166715315034871,0.00279282630637632,"chr11","+",4947540,5043115,"MSTRG.3997.3",23,4735,"MSTRG.3997","."
"10784","transcript",2.26720040758385,0.00019907091722815,0.00316989050631311,"chr11","+",4986824,5042794,"NM_001243044",22,4097,"MSTRG.3997","Ap1b1"
"10785","transcript",-5.40935289608952,2.00186990282347e-05,0.000549639619920852,"chr11","+",4986824,5042794,"NM_007454",21,4088,"MSTRG.3997","Ap1b1"
"10804","transcript",-2.76430636630816,0.000487962144006704,0.00627823905027734,"chr11","-",5069687,5099088,"NM_001283062",15,2301,"MSTRG.4003","Ewsr1"
"10878","transcript",3.94365873005584,2.65751535222236e-08,2.46408308724093e-06,"chr11",".",5818395,5818644,"MSTRG.3991.1",1,250,"MSTRG.3991","."
"10889","transcript",-2.33750923455118,0.0214313250908559,0.0914420448958063,"chr11","+",5955758,5967781,"NM_019661",7,2477,"MSTRG.4027","Ykt6"
"10919","transcript",-2.00264491294742,0.000441887880986314,0.00585594623912509,"chr11","-",6257545,6267729,"NM_026538",14,3287,"MSTRG.4043","Ddx56"
"10970","transcript",-6.1076420771865,0.00157635609967943,0.0145827119721735,"chr11","+",6415870,6419810,"NM_008907",5,736,"MSTRG.4048","Ppia"
"1102","transcript",-2.70017137623055,0.000454183522907048,0.00598244528542679,"chr1","-",42648155,42667886,"MSTRG.385.6",3,766,"MSTRG.385","."
"11043","transcript",2.21762958030969,1.00810281233876e-07,7.78938457184159e-06,"chr11",".",9737001,9737611,"MSTRG.4083.1",1,611,"MSTRG.4083","."
"11083","transcript",-2.47890193034033,0.00064189348734045,0.00770440444579348,"chr11","-",11930508,12026054,"MSTRG.4101.9",16,4949,"MSTRG.4101","."
"11085","transcript",3.18499611788926,5.27633459235233e-06,0.000193283344911559,"chr11","-",11931152,12025598,"MSTRG.4101.10",16,4627,"MSTRG.4101","."
"11100","transcript",10.1174655341884,7.22729653901411e-11,3.58575344075998e-08,"chr11",".",12648061,12648442,"MSTRG.4103.1",1,382,"MSTRG.4103","."
"11134","transcript",2.31085532850408,4.03023836526017e-10,9.9108818234398e-08,"chr11",".",16643578,16643822,"MSTRG.4129.1",1,245,"MSTRG.4129","."
