"id","feature","fc","pval","qval","chr","strand","start","end","t_name","num_exons","length","gene_id","gene_name"
"1001","transcript",2.22472534976524,0.0471942518005802,0.906341963781494,"chr1","+",59841431,59845709,"MSTRG.345.2",3,432,"MSTRG.345","."
"10081","transcript",2.57554696988453,0.0167303123393661,0.906341963781494,"chr11","+",83977075,84045222,"MSTRG.3269.4",20,7873,"MSTRG.3269","."
"10241","transcript",-10.419640830061,0.0091709452124028,0.906341963781494,"chr11","+",87760541,87785928,"NM_172449",32,7616,"MSTRG.3332","Bzrap1"
"10281","transcript",-2.45521371070955,0.0302888452932191,0.906341963781494,"chr11","-",88339382,88718229,"NM_054043",14,6490,"MSTRG.3340","Msi2"
"10449","transcript",-2.85353804523232,0.0401197484871916,0.906341963781494,"chr11","+",95384922,95391652,"NM_016752",9,1169,"MSTRG.3394","Slc35b1"
"10477","transcript",-3.43707269529647,0.0227623897708163,0.906341963781494,"chr11","+",96034917,96047405,"NM_033568",8,947,"MSTRG.3410","Snf8"
"10576","transcript",3.13842015857954,0.0381328144329253,0.906341963781494,"chr11","+",97362302,97389717,"MSTRG.3433.1",8,2009,"MSTRG.3433","."
"11063","transcript",6.70264837815016,0.038938350457008,0.906341963781494,"chr11","-",102056849,102088598,"MSTRG.3569.1",12,4219,"MSTRG.3569","."
"11163","transcript",2.74211723114817,0.00961609974946431,0.906341963781494,"chr11","+",102761456,102780262,"MSTRG.3604.3",26,5066,"MSTRG.3604","."
"1121","transcript",-2.68634912684452,0.0462369402774467,0.906341963781494,"chr1",".",65095150,65095797,"MSTRG.384.1",1,648,"MSTRG.384","."
"11273","transcript",2.80337022543667,0.00482725291553376,0.906341963781494,"chr11","-",104333229,104442291,"NM_001081045",14,5510,"MSTRG.3626","Kansl1"
"11333","transcript",5.66055973510395,0.00674287263967011,0.906341963781494,"chr11","-",105933704,105945295,"MSTRG.3638.3",7,3901,"MSTRG.3638","."
"11334","transcript",-2.356514074995,0.0374900686659714,0.906341963781494,"chr11","-",105935750,105943905,"MSTRG.3638.4",5,1265,"MSTRG.3638","."
"11405","transcript",4.79566392065513,0.00236036335292211,0.906341963781494,"chr11","-",106780312,106790197,"MSTRG.3666.2",13,5976,"MSTRG.3666","."
"11413","transcript",-2.35405127708699,0.000353488982444805,0.474382214440928,"chr11","-",106820055,106836186,"MSTRG.3668.2",7,3745,"MSTRG.3668","."
"11435","transcript",2.10884564017951,0.0396143566994227,0.906341963781494,"chr11","-",107207892,107470720,"NM_145823",10,6350,"MSTRG.3669","Pitpnc1"
"11436","transcript",-4.37726877820323,0.024058482403609,0.906341963781494,"chr11","-",107207895,107296274,"MSTRG.3669.2",5,5156,"MSTRG.3669","."
"11495","transcript",-15.8228285154235,0.0322743747791412,0.906341963781494,"chr11","+",109649118,109669648,"MSTRG.3691.2",12,3792,"MSTRG.3691","."
"11541","transcript",4.41807738796335,0.0212984346430736,0.906341963781494,"chr11","-",113043496,113066696,"MSTRG.3707.1",2,1684,"MSTRG.3707","."
"11543","transcript",-4.24903835456127,0.0167750713938528,0.906341963781494,"chr11","-",113043906,113201838,"NR_015556",3,1848,"MSTRG.3707","2610035D17Rik"
"11680","transcript",2.07597833919971,0.0472542041568247,0.906341963781494,"chr11","-",115584261,115604137,"MSTRG.3766.6",13,4308,"MSTRG.3766","."
"11837","transcript",6.30721076039013,0.00965997805786034,0.906341963781494,"chr11","-",116849807,116853099,"MSTRG.3814.2",2,2234,"MSTRG.3814","."
"12033","transcript",-7.60717462776345,0.00176570303448331,0.906341963781494,"chr11","-",120007316,120047145,"NM_007377",14,5691,"MSTRG.3877","Aatk"
"12193","transcript",3.42986052554784,0.0261417907609436,0.906341963781494,"chr11","-",120780745,120784204,"MSTRG.3922.3",8,2207,"MSTRG.3922","."
"12194","transcript",-3.52492196839507,0.00226370063526127,0.906341963781494,"chr11","-",120780745,120784204,"NM_009053",8,2118,"MSTRG.3922","Rfng"
"12220","transcript",2.43234857003932,0.0311746814651659,0.906341963781494,"chr11","-",120789099,120796398,"MSTRG.3924.2",13,2026,"MSTRG.3924","."
"12365","transcript",-2.07439366961532,0.0303260137375146,0.906341963781494,"chr12","+",4132868,4213524,"MSTRG.3955.1",22,5265,"MSTRG.3955","."
"12557","transcript",3.17564654976652,0.0366739592991514,0.906341963781494,"chr12","+",17547948,17548870,"MSTRG.4024.7",3,577,"MSTRG.4024","."
"12640","transcript",-3.35904171739606,0.000708504702891521,0.683935410942266,"chr12","+",24831517,24946687,"MSTRG.4069.1",4,641,"MSTRG.4069","."
"1283","transcript",2.23600719181993,0.0384555492645808,0.906341963781494,"chr1","-",74288247,74304336,"NM_027154",12,2309,"MSTRG.431","Tmbim1"
"12864","transcript",4.3613279264225,0.0393592375164205,0.906341963781494,"chr12","-",40033291,40037987,"NM_001039515",2,3693,"MSTRG.4143","Arl4a"
"13068","transcript",2.19563617625292,0.0372210306587193,0.906341963781494,"chr12","-",55602857,55709710,"MSTRG.4238.1",19,12888,"MSTRG.4238","."
"13109","transcript",2.61182809456692,0.00900345207334707,0.906341963781494,"chr12","+",58211804,58216036,"NM_009216",2,3869,"MSTRG.4222","Sstr1"
"13355","transcript",-3.18628109741901,0.0415606614721045,0.906341963781494,"chr12","+",73907900,73941883,"MSTRG.4320.4",10,2204,"MSTRG.4320","."
