"t_id","id","feature","fc","pval","qval","chr","strand","start","end","t_name","num_exons","length","gene_id","gene_name"
3785,"MSTRG.1422","gene",-3.44043261654385,0.000816485614940743,0.00961516505314142,"chr1","-",132564719,132741783,"MSTRG.1422.30",27,12740,"MSTRG.1422","."
3916,"MSTRG.1447","gene",3.1649935078496,0.000156782350059448,0.00263803385820158,"chr1","-",134344948,134362098,"MSTRG.1447.2",7,6533,"MSTRG.1447","."
3930,"MSTRG.1444","gene",2.23331399003097,2.66091843963423e-05,0.0006392212780631,"chr1","+",134415391,134433545,"MSTRG.1444.2",7,3987,"MSTRG.1444","."
3973,"MSTRG.1461","gene",-2.03418936328273,0.00376085201270104,0.0307263466139163,"chr1","-",135262699,135284084,"NM_145417",11,2301,"MSTRG.1461","Rnpep"
4036,"MSTRG.1497","gene",2.21237855927379,0.000496953168279246,0.00651551099326681,"chr1","+",136131401,136178014,"NM_001039472",35,9119,"MSTRG.1497","Kif21b"
4057,"MSTRG.1489","gene",-4.8990075153981,0.000209031225071099,0.00334046251739158,"chr1","+",136624901,136630391,"NM_177643",2,5271,"MSTRG.1489","Zfp281"
4067,"MSTRG.1499","gene",2.69214023544574,2.19780916115297e-05,0.000544661724562603,"chr1","-",137939926,137952076,"MSTRG.1499.1",2,12120,"MSTRG.1499","."
4228,"MSTRG.1584","gene",-5.97896966619349,2.11436116255292e-05,0.000526573389316406,"chr1","-",150361311,150393055,"NM_001077237",13,3146,"MSTRG.1584","BC003331"
4302,"MSTRG.1611","gene",2.11061939464222,4.57877238924098e-06,0.000162371990393703,"chr1","+",152766558,152776006,"MSTRG.1611.2",3,4300,"MSTRG.1611","."
4305,"MSTRG.1617","gene",-4.8098819553299,2.3765715561952e-05,0.000583140968006116,"chr1","-",152836938,152902698,"MSTRG.1617.1",24,6187,"MSTRG.1617","."
4361,"MSTRG.1632","gene",10.9199260177511,5.90884210762699e-05,0.00121723781951586,"chr1","+",153899926,153900036,"NR_106194",1,111,"MSTRG.1632","Mir8114"
4369,"MSTRG.1675","gene",-3.39467186086976,0.0031948320978108,0.0272686700657845,"chr1","-",154390667,154885143,"MSTRG.1675.1",49,16200,"MSTRG.1675","."
4410,"MSTRG.1667","gene",2.25517021447797,0.0174321733518925,0.0956649925950947,"chr1","-",155844666,155973277,"MSTRG.1667.1",39,13750,"MSTRG.1667","."
4555,"MSTRG.1706","gene",-5.60998692054802,0.00236983515019484,0.0218013123699827,"chr1","+",159523568,159931728,"MSTRG.1706.3",22,12127,"MSTRG.1706","."
4587,"MSTRG.1720","gene",2.11838589680815,0.00424836031813114,0.0336296897785542,"chr1","+",160906344,160974975,"MSTRG.1720.1",18,12140,"MSTRG.1720","."
4764,"MSTRG.1767","gene",-39.7129866320261,1.98301054843419e-06,8.34320878767765e-05,"chr1","-",164437099,164458355,"NM_009721",6,2590,"MSTRG.1767","Atp1b1"
4797,"MSTRG.1776","gene",-3.58391587903147,0.0287554417968551,0.135730781909961,"chr1","+",165461208,165481214,"NM_027430",5,854,"MSTRG.1776","Mpc2"
4883,"MSTRG.1811","gene",-4.35500915301915,0.00174161554032315,0.0171105685076339,"chr1","-",168153527,168432169,"NM_001291509",7,6890,"MSTRG.1811","Pbx1"
4902,"MSTRG.1819","gene",-2.31925792055846,0.00754789402311529,0.0522668462257315,"chr1","+",169928939,169934653,"NM_001033185",4,1440,"MSTRG.1819","1700084C01Rik"
4912,"MSTRG.1824","gene",-4.73730932745449,0.0027971936075506,0.0247102026043052,"chr1","-",170141939,170174602,"MSTRG.1824.4",10,3297,"MSTRG.1824","."
5188,"MSTRG.1918","gene",2.74959924153328,0.00957223886746972,0.0618614273584028,"chr1","-",174833697,174921861,"MSTRG.1918.1",4,4021,"MSTRG.1918","."
5271,"MSTRG.1930","gene",-2.39776775635269,0.0216535627732545,0.111787925110867,"chr1","+",177442318,177451327,"MSTRG.1930.2",2,4517,"MSTRG.1930","."
5346,"MSTRG.1951","gene",2.38530665167911,1.97017266668764e-05,0.000499893555326163,"chr1","-",178308090,178337796,"MSTRG.1951.2",15,23468,"MSTRG.1951","."
