"id","feature","fc","pval","qval","chr","strand","start","end","t_name","num_exons","length","gene_id","gene_name"
"10104","transcript",-2.27594259277869,0.0148911841374361,0.698174972340806,"chr11","-",118164269,118212723,"MSTRG.3436.8",13,2994,"MSTRG.3436","."
"10704","transcript",2.51348647514403,0.00575910274013081,0.698174972340806,"chr12","+",24974932,25059697,"MSTRG.3651.12",29,7218,"MSTRG.3651","."
"10716","transcript",2.61906154257759,0.00939119915345898,0.698174972340806,"chr12","+",24974932,25063022,"MSTRG.3651.11",31,9233,"MSTRG.3651","."
"11003","transcript",-2.39893061593906,0.0371104154095678,0.698174972340806,"chr12","+",49377675,49386867,"MSTRG.3738.7",5,4315,"MSTRG.3738","."
"11466","transcript",2.20586239598276,0.014993150245012,0.698174972340806,"chr12","+",78748831,78840713,"MSTRG.3906.1",15,5469,"MSTRG.3906","."
"11640","transcript",2.46666718577272,0.0319962877838931,0.698174972340806,"chr12","+",84114328,84143510,"NM_028821",8,5758,"MSTRG.3959","Dnal1"
"11735","transcript",-3.80891544766826,1.50653032149339e-06,0.0101632698816694,"chr12","+",85473901,85477270,"NM_010234",4,2094,"MSTRG.3993","Fos"
"12243","transcript",2.93904411328008,0.0383172734614969,0.698174972340806,"chr12","+",109603945,109661611,"MSTRG.4170.22",23,3568,"MSTRG.4170","."
"12503","transcript",2.19800403921525,0.00524388596994729,0.698174972340806,"chr12","-",112653821,112674910,"MSTRG.4209.2",14,2602,"MSTRG.4209","."
"12700","transcript",-4.15241220276167,0.0292065171828457,0.698174972340806,"chr13","-",9684836,9765667,"MSTRG.4269.5",15,4794,"MSTRG.4269","."
"12873","transcript",2.49899277335288,0.0178248015520197,0.698174972340806,"chr13","-",21442175,21453727,"NM_001013786",4,3990,"MSTRG.4331","Zscan26"
"13173","transcript",-2.17188274409011,0.0268570473352789,0.698174972340806,"chr13","-",33917921,33936083,"MSTRG.4410.7",8,1457,"MSTRG.4410","."
"13581","transcript",6.84513227446169,4.83983089534235e-05,0.0766053905602962,"chr13","+",54943005,55006018,"MSTRG.4557.1",15,10233,"MSTRG.4557","."
"13583","transcript",-2.82309538443435,0.000280646145211283,0.171314425498259,"chr13","+",54949432,55006018,"MSTRG.4557.3",13,5419,"MSTRG.4557","."
"13584","transcript",-5.55154828723532,0.000198299338814101,0.146348469680343,"chr13","+",54949432,55006018,"NM_153131",16,3974,"MSTRG.4557","Unc5a"
"13641","transcript",-2.57132819555658,0.0285298981903499,0.698174972340806,"chr13","-",55506773,55513446,"NM_026131",8,912,"MSTRG.4573","Pdlim7"
"13642","transcript",-2.24523311026192,0.0311383134337381,0.698174972340806,"chr13","-",55506773,55513446,"NR_104287",9,1031,"MSTRG.4573","Pdlim7"
"13694","transcript",4.1429867541062,0.0144193145879294,0.698174972340806,"chr13","-",56288643,56296831,"MSTRG.4584.1",5,1877,"MSTRG.4584","."
"1372","transcript",2.61214659931626,0.00975363647551075,0.698174972340806,"chr1","-",84721189,84838747,"MSTRG.472.11",43,9732,"MSTRG.472","."
"1373","transcript",2.44437173574278,0.0225171702735611,0.698174972340806,"chr1","-",84721189,84838769,"MSTRG.472.6",42,9841,"MSTRG.472","."
"14274","transcript",2.18440432014839,0.0389182324761288,0.698174972340806,"chr13","+",94078674,94195409,"MSTRG.4811.3",4,4338,"MSTRG.4811","."
"14410","transcript",2.90409590148516,0.048186638069726,0.698174972340806,"chr13","-",100459748,100492609,"MSTRG.4868.1",17,2042,"MSTRG.4868","."
"14439","transcript",2.60928688702583,0.0129055383015271,0.698174972340806,"chr13","-",100802648,100833427,"MSTRG.4881.1",15,3112,"MSTRG.4881","."
"14451","transcript",-2.11208311691966,0.0487386689773979,0.698174972340806,"chr13","-",102732488,102906192,"MSTRG.4886.2",26,10247,"MSTRG.4886","."
"14600","transcript",-2.05627730396468,0.00386845027985094,0.623769360218984,"chr13","+",113794508,114157461,"MSTRG.4950.1",4,3301,"MSTRG.4950","."
