"t_id","id","feature","fc","pval","qval","chr","strand","start","end","t_name","num_exons","length","gene_id","gene_name"
5416,"MSTRG.1891","gene",2.28584129717663,0.00635274137988207,0.590309893918152,"chr10","+",106468011,106933468,"MSTRG.1891.1",32,8748,"MSTRG.1891","."
9380,"MSTRG.3198","gene",-2.16602324897124,0.0463727402913594,0.60157253902206,"chr11","+",101442253,101445573,"MSTRG.3198.3",4,969,"MSTRG.3198","."
10151,"MSTRG.3450","gene",2.20085647308727,0.0159680973800058,0.60157253902206,"chr11","+",119267967,119285698,"NM_001159324",20,3666,"MSTRG.3450","Gaa"
11466,"MSTRG.3906","gene",3.04170357809084,0.00482449408903829,0.589253118814727,"chr12","+",78748831,78840713,"MSTRG.3906.1",15,5469,"MSTRG.3906","."
11735,"MSTRG.3993","gene",-2.49114395470786,1.71529639825252e-06,0.0145491440499779,"chr12","+",85473901,85477270,"NM_010234",4,2094,"MSTRG.3993","Fos"
13530,"MSTRG.4541","gene",3.1954583826461,0.00323057163740614,0.589253118814727,"chr13","+",54302505,54383917,"MSTRG.4541.1",5,5125,"MSTRG.4541","."
13582,"MSTRG.4557","gene",2.12548641575658,0.0384836973828768,0.60157253902206,"chr13","+",54943005,55006018,"MSTRG.4557.2",15,10236,"MSTRG.4557","."
13694,"MSTRG.4584","gene",9.73268763961124,0.0141257215992259,0.60157253902206,"chr13","-",56288643,56296831,"MSTRG.4584.1",5,1877,"MSTRG.4584","."
14234,"MSTRG.4792","gene",2.35469732582741,0.0217372863400723,0.60157253902206,"chr13","-",91880407,91988042,"MSTRG.4792.2",15,5801,"MSTRG.4792","."
14451,"MSTRG.4886","gene",-4.06539906187864,0.00227692745274077,0.589253118814727,"chr13","-",102732488,102906192,"MSTRG.4886.2",26,10247,"MSTRG.4886","."
14918,"MSTRG.5076","gene",4.67844624582926,0.0115739882440151,0.60157253902206,"chr14","-",20548912,20618354,"MSTRG.5076.1",20,6350,"MSTRG.5076","."
15678,"MSTRG.5284","gene",-3.26528705581961,0.00262967843853712,0.589253118814727,"chr14","-",52006082,52019693,"MSTRG.5284.5",5,2921,"MSTRG.5284","."
17087,"MSTRG.5759","gene",-2.0590465739498,0.00295591925909933,0.589253118814727,"chr15","+",12321496,12351593,"MSTRG.5759.1",3,2802,"MSTRG.5759","."
18740,"MSTRG.6305","gene",7.00016849958154,0.00363431270790215,0.589253118814727,"chr15","-",95219440,95528252,"NM_001289653",21,3168,"MSTRG.6305","Nell2"
19219,"MSTRG.6444","gene",-2.29034723574239,0.0349101546828845,0.60157253902206,"chr15","-",103191546,103215352,"MSTRG.6444.2",6,8906,"MSTRG.6444","."
19901,"MSTRG.6630","gene",2.64509523275503,0.0472491981554081,0.60157253902206,"chr16","+",20097554,20129200,"MSTRG.6630.1",7,8076,"MSTRG.6630","."
20134,"MSTRG.6699","gene",2.13391221205764,0.00155207290436321,0.589253118814727,"chr16","+",26581705,26725147,"NM_001159317",12,4031,"MSTRG.6699","Il1rap"
22754,"MSTRG.7535","gene",2.0759840127501,0.00831891915785854,0.60157253902206,"chr17","+",34644883,34646327,"MSTRG.7535.2",2,1220,"MSTRG.7535","."
23385,"MSTRG.7720","gene",-2.1824428835964,0.0304121768405829,0.60157253902206,"chr17",".",47410165,47411944,"MSTRG.7720.1",1,1780,"MSTRG.7720","."
33280,"MSTRG.10875","gene",2.51095987450926,0.0227341234437552,0.60157253902206,"chr3","+",58117102,58295599,"MSTRG.10875.3",4,2472,"MSTRG.10875","."
35228,"MSTRG.11527","gene",2.31950303026474,0.00481158394072434,0.589253118814727,"chr3","-",138925897,139075201,"NM_001040690",15,3674,"MSTRG.11527","Rap1gds1"
35956,"MSTRG.11798","gene",4.44217324456194,0.0460099528419828,0.60157253902206,"chr4","-",41712033,41713517,"NM_027278",2,839,"MSTRG.11798","Rpp25l"
36688,"MSTRG.12014","gene",2.62783220199977,0.0479106751943614,0.60157253902206,"chr4","-",83220301,83285280,"MSTRG.12014.1",19,8983,"MSTRG.12014","."
38804,"MSTRG.12703","gene",3.22490404773382,0.0197069628503466,0.60157253902206,"chr4","-",151003655,151044665,"NM_011067",21,5996,"MSTRG.12703","Per3"
39262,"MSTRG.12835","gene",5.1044325116658,0.0130209775503167,0.60157253902206,"chr5","-",5505015,5514789,"NM_001193660",5,3752,"MSTRG.12835","Cldn12"
41510,"MSTRG.13595","gene",4.10058027061458,0.0146019949506668,0.60157253902206,"chr5","+",118561537,118765437,"MSTRG.13595.2",31,9455,"MSTRG.13595","."
42541,"MSTRG.13918","gene",2.55730726382217,0.0293935549997999,0.60157253902206,"chr5","-",142724705,142817670,"MSTRG.13918.7",29,10643,"MSTRG.13918","."
47694,"MSTRG.15470","gene",-4.06568743444698,0.0292498880290741,0.60157253902206,"chr7","-",44605803,44665503,"NM_001271538",41,6515,"MSTRG.15470","Myh14"
48162,"MSTRG.15646","gene",-2.03135743624722,0.0315828414610921,0.60157253902206,"chr7","+",59300012,59303288,"MSTRG.15646.1",1,3277,"MSTRG.15646","."
48706,"MSTRG.15802","gene",2.11803412490849,0.047596222099709,0.60157253902206,"chr7","-",84246278,84372648,"MSTRG.15802.6",19,6187,"MSTRG.15802","."
49648,"MSTRG.16045","gene",13.0638722150688,0.0169423035828741,0.60157253902206,"chr7","-",116337276,116443458,"NM_011083",33,8042,"MSTRG.16045","Pik3c2a"
50712,"MSTRG.16374","gene",-2.53892819796908,0.000121607910932298,0.20629566010555,"chr7","-",143557230,143600087,"MSTRG.16374.2",20,4813,"MSTRG.16374","."
