"t_id","id","feature","fc","pval","qval","chr","strand","start","end","t_name","num_exons","length","gene_id","gene_name"
1920,"MSTRG.694","gene",-2.98085157110228,0.0461151208232853,0.480730581551586,"chr1","+",105663861,105755131,"NM_173187",29,5406,"MSTRG.694","2310035C23Rik"
5151,"MSTRG.1829","gene",2.35019330996574,0.0272388360746203,0.43458740307645,"chr10","-",78170916,78185149,"MSTRG.1829.3",20,5154,"MSTRG.1829","."
5917,"MSTRG.2117","gene",-3.25462179437732,0.0239198153082727,0.423028563159244,"chr10","+",94198958,94221427,"MSTRG.2117.1",4,1106,"MSTRG.2117","."
6445,"MSTRG.2309","gene",-4.96559177096752,0.0117743008579583,0.386089022855311,"chr10","-",127190378,127195245,"MSTRG.2309.3",5,2579,"MSTRG.2309","."
6574,"MSTRG.2335","gene",6.16022851294203,0.0328160971581335,0.452303344083095,"chr10","+",128059881,128077239,"MSTRG.2335.3",8,1775,"MSTRG.2335","."
6798,"MSTRG.2427","gene",2.50015695974681,0.046474446742113,0.48182607202794,"chr11","+",3123371,3132858,"MSTRG.2427.1",5,3010,"MSTRG.2427","."
7793,"MSTRG.2775","gene",3.60636347468038,0.00540966677637222,0.301807912512516,"chr11","-",50200152,50225323,"MSTRG.2775.4",8,17782,"MSTRG.2775","."
8192,"MSTRG.2906","gene",3.42709949859002,0.0111175504456518,0.386089022855311,"chr11","+",59306828,59333546,"MSTRG.2906.1",4,3402,"MSTRG.2906","."
8335,"MSTRG.2969","gene",7.20892654557632,0.0329634858403042,0.453556769906484,"chr11","-",61448417,61453992,"MSTRG.2969.11",11,3508,"MSTRG.2969","."
8782,"MSTRG.3103","gene",4.61320951793709,0.00243656316384389,0.243887148684121,"chr11","-",69916712,69920947,"NM_001166592",7,1368,"MSTRG.3103","Eif5a"
9107,"MSTRG.3186","gene",2.67250084035091,0.0163284832585195,0.409063921153778,"chr11","+",74649344,74663889,"MSTRG.3186.2",12,2542,"MSTRG.3186","."
10205,"MSTRG.3559","gene",-3.18576970250382,0.0229190954792218,0.422329005985989,"chr11","-",98152155,98193293,"NM_134027",18,2821,"MSTRG.3559","Med1"
11120,"MSTRG.3876","gene",-2.07599297095526,0.0265931831882523,0.434408554144162,"chr11","-",115584255,115603916,"NM_001252067",16,3447,"MSTRG.3876","Gga3"
11726,"MSTRG.4075","gene",-2.09729886580948,0.0274911860815095,0.436416842152043,"chr12","+",3426857,3506849,"NM_001270988",12,9033,"MSTRG.4075","Asxl2"
12003,"MSTRG.4177","gene",8.25450911678152,0.0343191267964708,0.46158497412679,"chr12","-",21390090,21417613,"MSTRG.4177.3",7,2247,"MSTRG.4177","."
12241,"MSTRG.4280","gene",-9.38717383949055,0.0384623082829494,0.465563752500077,"chr12","+",38779899,38835316,"MSTRG.4280.3",7,1358,"MSTRG.4280","."
12689,"MSTRG.4444","gene",-3.99589464973156,0.000154443416325978,0.0772948655707223,"chr12","+",71831068,71992327,"MSTRG.4444.1",25,7006,"MSTRG.4444","."
12803,"MSTRG.4480","gene",3.37102964072641,0.0230520288008957,0.422329005985989,"chr12","+",76403837,76406936,"MSTRG.4480.1",2,2514,"MSTRG.4480","."
12877,"MSTRG.4513","gene",4.24331811700085,0.00882075751032851,0.359805131709027,"chr12","-",80167542,80260371,"MSTRG.4513.3",24,4400,"MSTRG.4513","."
14165,"MSTRG.4897","gene",-2.68552648918934,0.00906517525002948,0.363716250854558,"chr13","+",8971024,9042631,"MSTRG.4897.1",2,1486,"MSTRG.4897","."
14257,"MSTRG.4927","gene",-2.00972234441827,0.0151228282289022,0.404922918641177,"chr13","+",14063784,14199337,"MSTRG.4927.3",23,7848,"MSTRG.4927","."
15022,"MSTRG.5204","gene",2.1691352842661,0.00355168371830672,0.300037563313702,"chr13","+",51651708,51684044,"NM_001308448",17,3312,"MSTRG.5204","Secisbp2"
15321,"MSTRG.5283","gene",-2.28440729387788,0.0256270490996376,0.429570841957242,"chr13","-",59445748,59557347,"MSTRG.5283.1",27,12638,"MSTRG.5283","."
15434,"MSTRG.5319","gene",-2.35647213805083,0.0344720773703384,0.461683075654293,"chr13","-",63508304,63564842,"MSTRG.5319.1",24,7341,"MSTRG.5319","."
15879,"MSTRG.5541","gene",2.66849509270963,0.0205869563530335,0.418530988087075,"chr13","-",93040817,93083327,"MSTRG.5541.2",9,1893,"MSTRG.5541","."
17003,"MSTRG.5962","gene",-2.43430880365559,0.01714821590141,0.410736486162488,"chr14","+",32201946,32274991,"MSTRG.5962.1",15,2573,"MSTRG.5962","."
18039,"MSTRG.6315","gene",10.1497526377531,0.0319060542497652,0.447207965538731,"chr14","-",69241851,69285103,"MSTRG.6315.2",4,4673,"MSTRG.6315","."
19163,"MSTRG.6732","gene",2.50977036678484,0.0392741735094297,0.465563752500077,"chr15","-",43020788,43171357,"MSTRG.6732.1",5,4004,"MSTRG.6732","."
20310,"MSTRG.7105","gene",2.29400610762847,0.0103454729848589,0.386089022855311,"chr15","+",84167771,84189521,"MSTRG.7105.1",8,5009,"MSTRG.7105","."
