"t_id","id","feature","fc","pval","qval","chr","strand","start","end","t_name","num_exons","length","gene_id","gene_name"
2790,"MSTRG.1129","gene",22.9372614779847,0.0404336929986324,0.993341040158038,"chr10","+",60277628,60302600,"NM_001146120",14,2651,"MSTRG.1129","Psap"
7686,"MSTRG.2956","gene",3.73378713792033,0.0485166295453378,0.993341040158038,"chr12","+",51377513,51417215,"NM_001306178",14,2816,"MSTRG.2956","Scfd1"
8152,"MSTRG.3167","gene",2.61738451225252,1.43192257984204e-06,0.00817798686887428,"chr12","+",85473901,85477270,"NM_010234",4,2094,"MSTRG.3167","Fos"
8171,"MSTRG.3177","gene",3.10522710623117,0.0348825176374921,0.993341040158038,"chr12",".",86715455,86716043,"MSTRG.3177.1",1,589,"MSTRG.3177","."
8296,"MSTRG.3225","gene",-2.52477858478995,0.0395316131378016,0.993341040158038,"chr12","+",100199541,100209806,"NM_009790",6,4001,"MSTRG.3225","Calm1"
8700,"MSTRG.3415","gene",6.82579370780043,0.0476274360589304,0.993341040158038,"chr12","-",112653821,112674276,"NM_009652",14,2690,"MSTRG.3415","Akt1"
11020,"MSTRG.4279","gene",2.01873159286766,0.0058804325256987,0.993341040158038,"chr14","+",54894143,54898927,"NM_019402",7,1793,"MSTRG.4279","Pabpn1"
12906,"MSTRG.5049","gene",-22.2863952330264,0.0478907430376359,0.993341040158038,"chr15","+",92051165,92341967,"NM_001159648",24,5671,"MSTRG.5049","Cntn1"
13219,"MSTRG.5146","gene",-61.529284815378,0.00618625180114418,0.993341040158038,"chr15","+",102203645,102215610,"NM_001289691",8,4249,"MSTRG.5146","Zfp740"
14367,"MSTRG.5560","gene",15.2415055151858,0.00361987866650426,0.993341040158038,"chr16","-",84827871,84834998,"NM_001302216",4,536,"MSTRG.5560","Atp5j"
14977,"MSTRG.5768","gene",27.145473770623,0.00147720714012878,0.993341040158038,"chr17","-",24163865,24169395,"NR_037854",3,1118,"MSTRG.5768","Atp6v0c-ps2"
15555,"MSTRG.5974","gene",3.2611509663281,0.0216377409102892,0.993341040158038,"chr17","+",33909601,33915590,"NM_001199733",8,2681,"MSTRG.5974","Daxx"
16021,"MSTRG.6094","gene",2.03399860837712,0.0325515536935215,0.993341040158038,"chr17","-",45677925,45679352,"MSTRG.6094.2",2,208,"MSTRG.6094","."
16876,"MSTRG.6414","gene",7.71492694656779,0.0366977510460968,0.993341040158038,"chr18","-",22693155,23038663,"NM_001161483",11,3542,"MSTRG.6414","Nol4"
16986,"MSTRG.6469","gene",7.70019572842989,0.046080513914089,0.993341040158038,"chr18","+",34409423,34442788,"NM_016927",15,2460,"MSTRG.6469","Pkd2l2"
17244,"MSTRG.6593","gene",-7.38317224580183,0.0127103845758865,0.993341040158038,"chr18","-",45683487,46045260,"NR_040342",4,2407,"MSTRG.6593","A330093E20Rik"
17722,"MSTRG.6801","gene",-3.36562586714318,0.00100224227457013,0.993341040158038,"chr19","-",3908863,3912774,"NM_001271444",7,1024,"MSTRG.6801","Ndufs8"
18628,"MSTRG.7154","gene",-5.68662539667814,0.0405339325740475,0.993341040158038,"chr19",".",40194077,40194978,"MSTRG.7154.1",1,902,"MSTRG.7154","."
18695,"MSTRG.7191","gene",8.85117852254832,2.09168712077545e-05,0.0583720152504403,"chr19","+",42255739,42270348,"NM_027694",5,2823,"MSTRG.7191","Golga7b"
19577,"MSTRG.7468","gene",10.4208291345988,0.0345022836421625,0.993341040158038,"chr2","-",25926838,25983282,"NM_001276359",17,7981,"MSTRG.7468","Camsap1"
21579,"MSTRG.8150","gene",-2.46304181781891,0.0297770001410256,0.993341040158038,"chr2","-",131039632,131042682,"NM_001271002",6,1386,"MSTRG.8150","Gfra4"
27316,"MSTRG.10183","gene",4.33954828725163,0.0210217513321111,0.993341040158038,"chr4","-",155656053,155657334,"MSTRG.10183.4",2,1194,"MSTRG.10183","."
33837,"MSTRG.12393","gene",-7.4477120239303,0.0192669620511581,0.993341040158038,"chr7","+",57590518,57828801,"NM_001038701",9,5515,"MSTRG.12393","Gabrb3"
36810,"MSTRG.13435","gene",3.97579290660904,0.0328519894201139,0.993341040158038,"chr8","+",83566758,83571623,"NM_025843",3,533,"MSTRG.13435","Ndufb7"
37369,"MSTRG.13652","gene",-7.71567272451218,1.95365190369667e-06,0.00817798686887428,"chr8","+",109075222,109253639,"NR_126329",10,3677,"MSTRG.13652","D030068K23Rik"
37997,"MSTRG.13923","gene",-2.16739980969956,0.0264533235172486,0.993341040158038,"chr9","+",21002737,21008837,"NM_023167",9,1287,"MSTRG.13923","Mrpl4"
39615,"MSTRG.14546","gene",-4.61226918676614,9.28127226950126e-05,0.194257028600661,"chr9","+",108569892,108572771,"NM_026378",12,1737,"MSTRG.14546","Dalrd3"
40084,"MSTRG.14698","gene",2.73193906791981,0.0253497953115248,0.993341040158038,"chrX","+",7573600,7581016,"NR_029473",3,3456,"MSTRG.14698","Ppp1r3fos"
40337,"MSTRG.14777","gene",-2.75682507072676,0.0490691728602178,0.993341040158038,"chrX","+",20839048,20852816,"MSTRG.14777.1",2,1078,"MSTRG.14777","."
41598,"MSTRG.15140","gene",2.57175737185726,0.0160664509106785,0.993341040158038,"chrX","-",136732948,136741155,"NM_001168225",4,1931,"MSTRG.15140","Morf4l2"
41726,"MSTRG.15174","gene",3.6492420796903,0.0423745578861807,0.993341040158038,"chrX",".",145990761,145991278,"MSTRG.15174.1",1,518,"MSTRG.15174","."
