"id","feature","fc","pval","qval","chr","strand","start","end","t_name","num_exons","length","gene_id","gene_name"
"11368","transcript",-3.32709690440487,0.0278233297911208,0.97030184005435,"chr11","+",62551428,62553275,"MSTRG.3316.7",4,901,"MSTRG.3316","."
"11856","transcript",-8.18909648189238,0.00502035349617347,0.97030184005435,"chr11","-",70238123,70239852,"NM_173742",3,622,"MSTRG.3400","Rnasek"
"12319","transcript",2.23970383312358,0.0458807912038068,0.97030184005435,"chr11","+",75588034,75628894,"MSTRG.3511.2",12,7988,"MSTRG.3511","."
"13220","transcript",-3.16985866031624,0.0289915979832831,0.97030184005435,"chr11","-",93958925,93968521,"NM_008704",5,1235,"MSTRG.3784","Nme1"
"15623","transcript",-2.25327894348495,0.0463942512706339,0.97030184005435,"chr12","-",3962579,3981490,"MSTRG.4427.13",12,8989,"MSTRG.4427","."
"16197","transcript",-2.79434853427206,0.00571251576544862,0.97030184005435,"chr12","+",32819655,32853355,"MSTRG.4623.3",11,4549,"MSTRG.4623","."
"16198","transcript",2.12980712489535,0.0132374169377216,0.97030184005435,"chr12","+",32820335,32853369,"NM_021524",11,4547,"MSTRG.4623","Nampt"
"17697","transcript",2.44231928640738,0.0118553195110971,0.97030184005435,"chr12","+",88794504,90334933,"NM_001198587",20,7920,"MSTRG.5025","Nrxn3"
"20288","transcript",2.81397255011563,0.0283070325561117,0.97030184005435,"chr13","+",55369502,55384646,"MSTRG.5724.2",16,2409,"MSTRG.5724","."
"20499","transcript",2.16321771319392,0.00120746013099393,0.97030184005435,"chr13","-",58391142,58402212,"MSTRG.5765.13",16,2812,"MSTRG.5765","."
"20963","transcript",-2.01560235601685,0.0480402241019378,0.97030184005435,"chr13","+",74009847,74035734,"MSTRG.5895.2",4,5228,"MSTRG.5895","."
"21104","transcript",-2.67086514653435,0.012490014665915,0.97030184005435,"chr13","-",81016432,81066591,"MSTRG.5943.1",2,1462,"MSTRG.5943","."
"22491","transcript",-2.28584548114079,0.00197154698026814,0.97030184005435,"chr14","-",26063751,26067425,"NM_001270498_1",4,1449,"MSTRG.6409","Tmem254c"
"23794","transcript",2.63909597889762,0.0164116149563491,0.97030184005435,"chr14","-",57549629,57571573,"MSTRG.6754.7",5,806,"MSTRG.6754","."
"24255","transcript",2.03278531334854,0.02544883175418,0.97030184005435,"chr14","-",70180468,70206022,"NM_001271407",21,3061,"MSTRG.6897","Sorbs3"
"25791","transcript",-2.12233364167689,0.0124960091864812,0.97030184005435,"chr15","-",53453029,53902623,"MSTRG.7363.1",5,9863,"MSTRG.7363","."
"26350","transcript",2.34347292836073,0.00397377555724954,0.97030184005435,"chr15","-",76170974,76209364,"MSTRG.7514.13",32,15116,"MSTRG.7514","."
"273","transcript",-2.29570673337848,0.0108766476465867,0.97030184005435,"chr1","-",16641683,16657256,"MSTRG.76.2",4,2258,"MSTRG.76","."
"27984","transcript",2.69280113571595,0.0219566535322488,0.97030184005435,"chr15","+",99392947,99410049,"NM_001171034",11,2602,"MSTRG.7943","Tmbim6"
"28267","transcript",5.99320617820551,0.0171669075028034,0.97030184005435,"chr15","+",102326116,102331489,"NM_027044",6,678,"MSTRG.8047","Pfdn5"
"28271","transcript",-2.41753386248503,0.0154929587940407,0.97030184005435,"chr15","+",102326147,102338116,"MSTRG.8047.5",11,2975,"MSTRG.8047","."
"28844","transcript",2.16297089490982,0.00150803187422388,0.97030184005435,"chr16","-",13537985,13668140,"MSTRG.8195.6",24,2988,"MSTRG.8195","."
