"t_id","id","feature","fc","pval","qval","chr","strand","start","end","t_name","num_exons","length","gene_id","gene_name"
9362,"MSTRG.3402","gene",-4.58264018070523,0.0472719485890016,0.934722846762857,"chr11",".",69573698,69573985,"MSTRG.3402.1",1,288,"MSTRG.3402","."
9852,"MSTRG.3526","gene",2.43235118937766,0.0210932114052428,0.934722846762857,"chr11","-",74673949,74723858,"NR_037610",11,5790,"MSTRG.3526","Pafah1b1"
10310,"MSTRG.3689","gene",3.68018190211138,0.00536123398812038,0.905229556632546,"chr11","-",80880172,81153784,"MSTRG.3689.3",10,3995,"MSTRG.3689","."
12141,"MSTRG.4295","gene",-2.18096685431457,0.0413901830601526,0.934722846762857,"chr11","-",116470816,116490341,"MSTRG.4295.1",9,2272,"MSTRG.4295","."
12422,"MSTRG.4404","gene",2.14900821638122,0.0251463257144705,0.934722846762857,"chr11","+",120459523,120464322,"MSTRG.4404.2",3,3142,"MSTRG.4404","."
12567,"MSTRG.4445","gene",-2.60814923583484,0.016557464955215,0.934722846762857,"chr11","-",121222589,121229309,"NM_001252548",7,2396,"MSTRG.4445","BC017643"
15163,"MSTRG.5378","gene",-2.49035981845172,0.0201543040662897,0.934722846762857,"chr12","-",113418584,113428596,"MSTRG.5378.2",7,1755,"MSTRG.5378","."
17378,"MSTRG.6238","gene",5.3770783463779,0.0337532134563236,0.934722846762857,"chr13","-",102774185,102958279,"MSTRG.6238.4",13,1604,"MSTRG.6238","."
17722,"MSTRG.6383","gene",-2.65212652348103,0.0449539239299706,0.934722846762857,"chr14","+",8002902,8056555,"MSTRG.6383.1",8,1865,"MSTRG.6383","."
17897,"MSTRG.6446","gene",-3.25349159638802,0.0138886150057241,0.934722846762857,"chr14","-",20319859,20348121,"NM_027475",14,3125,"MSTRG.6446","Ecd"
20411,"MSTRG.7336","gene",2.23227425449567,0.0302172479238005,0.934722846762857,"chr15","-",31590884,31601781,"MSTRG.7336.1",11,2045,"MSTRG.7336","."
24387,"MSTRG.8663","gene",-36.9447829786409,0.000505977504256183,0.445302368537463,"chr16","-",48890752,48959759,"MSTRG.8663.1",23,2732,"MSTRG.8663","."
25020,"MSTRG.8869","gene",5.63563090644976,0.00352729288292597,0.905229556632546,"chr16","-",95992092,96058784,"MSTRG.8869.3",35,8814,"MSTRG.8869","."
25045,"MSTRG.8867","gene",-2.12985729162682,0.00450138359972319,0.905229556632546,"chr16","+",96280765,96319858,"MSTRG.8867.3",4,5371,"MSTRG.8867","."
25506,"MSTRG.9049","gene",-2.07600842259238,0.0161621585393166,0.934722846762857,"chr17","-",17264147,17266517,"MSTRG.9049.1",1,2371,"MSTRG.9049","."
25963,"MSTRG.9168","gene",-2.88610474310673,0.0361956468305913,0.934722846762857,"chr17","+",25184260,25187662,"MSTRG.9168.1",1,3403,"MSTRG.9168","."
26229,"MSTRG.9238","gene",2.56211945558176,0.00791981410295173,0.934722846762857,"chr17",".",26657014,26658771,"MSTRG.9238.1",1,1758,"MSTRG.9238","."
26381,"MSTRG.9271","gene",-3.16056732045125,0.00675451521032311,0.905229556632546,"chr17","+",27909306,28062779,"NM_181413",25,5823,"MSTRG.9271","Anks1"
27452,"MSTRG.9596","gene",-2.814294696293,0.0134580228251294,0.934722846762857,"chr17","+",45433634,45442886,"MSTRG.9596.1",3,7096,"MSTRG.9596","."
27957,"MSTRG.9748","gene",-7.72770718294797,0.0313658745456261,0.934722846762857,"chr17","+",56609813,56610848,"MSTRG.9748.2",2,953,"MSTRG.9748","."
28453,"MSTRG.9940","gene",3.80612712445838,0.0320127052647328,0.934722846762857,"chr17","+",83350931,83480359,"NM_001114361",24,5443,"MSTRG.9940","Eml4"
28633,"MSTRG.10006","gene",3.00718653403414,0.00509404216314624,0.905229556632546,"chr17",".",94692901,94693168,"MSTRG.10006.1",1,268,"MSTRG.10006","."
37590,"MSTRG.13121","gene",2.84957189222426,0.00940077227161551,0.934722846762857,"chr2","-",158580867,158610723,"MSTRG.13121.1",4,818,"MSTRG.13121","."
37604,"MSTRG.13128","gene",-4.27795508600055,0.0367488485748781,0.934722846762857,"chr2","+",158740734,158766320,"MSTRG.13128.5",9,5896,"MSTRG.13128","."
37710,"MSTRG.13163","gene",10.6887692309518,0.00308019564275641,0.905229556632546,"chr2","+",163602314,163619013,"NR_131225",4,4326,"MSTRG.13163","Ttpal"
38730,"MSTRG.13500","gene",-21.793190995137,3.62738572425858e-05,0.165803981075699,"chr3",".",18008758,18009379,"MSTRG.13500.1",1,622,"MSTRG.13500","."
39077,"MSTRG.13625","gene",5.55253639597854,0.000643786328600848,0.485644815453826,"chr3","+",37312672,37321565,"MSTRG.13625.3",2,2589,"MSTRG.13625","."
41361,"MSTRG.14468","gene",12.6626041780201,0.0081556961881859,0.934722846762857,"chr3","-",121202010,121263316,"NM_178936",8,6222,"MSTRG.14468","Tmem56"
41889,"MSTRG.14684","gene",-29.6373583689148,0.000735214082934421,0.517639728658028,"chr3","+",152396003,152462826,"NM_001080755",14,7607,"MSTRG.14684","Zzz3"
41953,"MSTRG.14704","gene",-2.50321763712309,0.0336982015435909,0.934722846762857,"chr3","-",155084919,155093378,"NM_029330",4,3492,"MSTRG.14704","Fpgt"
42723,"MSTRG.14984","gene",-2.16904631872617,0.0249856056180575,0.934722846762857,"chr4","+",43507026,43513725,"NM_139305",11,1959,"MSTRG.14984","Car9"
43158,"MSTRG.15143","gene",2.15815494676219,0.00012543349301708,0.280419473445018,"chr4","-",62452632,62470895,"NM_001290521",11,2557,"MSTRG.15143","Wdr31"
43940,"MSTRG.15410","gene",2.26406308202252,0.0289778128399867,0.934722846762857,"chr4","+",110397698,111657519,"NM_030231",13,1900,"MSTRG.15410","Agbl4"
44552,"MSTRG.15626","gene",-21.0140527064515,0.0461369022683624,0.934722846762857,"chr4",".",126069855,126070312,"MSTRG.15626.1",1,458,"MSTRG.15626","."
44663,"MSTRG.15678","gene",2.73710774445648,0.0028232431012758,0.880644772257102,"chr4","+",128297229,128419599,"MSTRG.15678.3",17,2803,"MSTRG.15678","."
44749,"MSTRG.15700","gene",2.09382659610482,0.0210071811635818,0.934722846762857,"chr4","+",129514348,129515981,"MSTRG.15700.2",2,1383,"MSTRG.15700","."
44934,"MSTRG.15762","gene",3.35849689694852,0.00802062156702266,0.934722846762857,"chr4","-",132331919,132345750,"NM_133878",10,2288,"MSTRG.15762","Rcc1"
47061,"MSTRG.16508","gene",-2.2810746529417,0.0221874788993489,0.934722846762857,"chr5","+",31526995,31554038,"NM_009206",13,2425,"MSTRG.16508","Slc4a1ap"
47918,"MSTRG.16810","gene",-2.37265250088745,0.00581363757018727,0.905229556632546,"chr5","-",76877287,76894476,"MSTRG.16810.2",11,2666,"MSTRG.16810","."
48908,"MSTRG.17131","gene",3.04834838090058,0.0301586504756592,0.934722846762857,"chr5","+",114131156,114139321,"NM_011677",6,1906,"MSTRG.17131","Ung"
49343,"MSTRG.17275","gene",8.01239571049159,0.0337392519299129,0.934722846762857,"chr5","-",122731170,122779410,"NM_145358",16,4846,"MSTRG.17275","Camkk2"
50626,"MSTRG.17743","gene",3.85482322780947,0.00144903046438727,0.674850568326924,"chr6","+",4505244,4541543,"MSTRG.17743.1",53,5262,"MSTRG.17743","."
51076,"MSTRG.17915","gene",2.32350474296436,0.0057150357969995,0.905229556632546,"chr6","-",34155879,34177048,"MSTRG.17915.2",10,4018,"MSTRG.17915","."
52527,"MSTRG.18436","gene",9.40603104540983,0.000584233156847747,0.474622028420696,"chr6","+",91987110,92076005,"NM_172731",20,5622,"MSTRG.18436","Fgd5"
52591,"MSTRG.18458","gene",7.34947322022465,0.0030939638353995,0.905229556632546,"chr6","+",96115252,96657198,"MSTRG.18458.2",4,3198,"MSTRG.18458","."
54081,"MSTRG.18959","gene",-2.50020439441836,0.0133544136421548,0.934722846762857,"chr7","+",3645301,3661104,"MSTRG.18959.2",19,2944,"MSTRG.18959","."
55682,"MSTRG.19374","gene",4.36197951629973,0.0352465559416939,0.934722846762857,"chr7","-",29932791,29951893,"NM_178384",5,3711,"MSTRG.19374","Zfp74"
56504,"MSTRG.19615","gene",2.17047230290135,0.0128931672516024,0.934722846762857,"chr7","-",45709463,45718002,"NM_001172561",6,3481,"MSTRG.19615","Sphk2"
57346,"MSTRG.19921","gene",-16.0546105189671,0.000220444987174329,0.354876135881489,"chr7","+",82648600,82692599,"MSTRG.19921.1",13,1457,"MSTRG.19921","."
