"t_id","id","feature","fc","pval","qval","chr","strand","start","end","t_name","num_exons","length","gene_id","gene_name"
11561,"MSTRG.3317","gene",3.23349256361306,0.034190876773789,0.978513634375155,"chr11","-",68985225,69007704,"MSTRG.3317.7",29,7054,"MSTRG.3317","."
12319,"MSTRG.3511","gene",2.22808828837908,0.0410870999592525,0.978513634375155,"chr11","+",75588034,75628894,"MSTRG.3511.2",12,7988,"MSTRG.3511","."
12864,"MSTRG.3682","gene",2.76569431883615,0.0115308034481063,0.978513634375155,"chr11","+",83964331,84045234,"MSTRG.3682.2",22,8141,"MSTRG.3682","."
14203,"MSTRG.4044","gene",-2.03138998554562,0.0420952075749834,0.978513634375155,"chr11","+",102761410,102780293,"MSTRG.4044.1",27,4676,"MSTRG.4044","."
16198,"MSTRG.4623","gene",2.68489875040797,0.0225516670360787,0.978513634375155,"chr12","+",32820335,32853369,"NM_021524",11,4547,"MSTRG.4623","Nampt"
16923,"MSTRG.4804","gene",-4.12512842517075,0.00605345840836102,0.978513634375155,"chr12","-",71009702,71015823,"NR_045056",3,1147,"MSTRG.4804","3110056K07Rik"
16999,"MSTRG.4820","gene",-2.36496457217553,0.0388891959241007,0.978513634375155,"chr12","+",72536357,72580213,"NM_026327",11,4420,"MSTRG.4820","Pcnxl4"
18166,"MSTRG.5128","gene",3.83247777426191,0.0395173235300985,0.978513634375155,"chr12","+",108179281,108203415,"MSTRG.5128.1",13,2964,"MSTRG.5128","."
19158,"MSTRG.5392","gene",-2.00881177899021,0.0054909723762232,0.978513634375155,"chr13","+",18030308,18031742,"MSTRG.5392.1",1,1435,"MSTRG.5392","."
20288,"MSTRG.5724","gene",2.69898145157275,0.0227709673778468,0.978513634375155,"chr13","+",55369502,55384646,"MSTRG.5724.2",16,2409,"MSTRG.5724","."
21104,"MSTRG.5943","gene",-2.41569884982429,0.0134472147229758,0.978513634375155,"chr13","-",81016432,81066591,"MSTRG.5943.1",2,1462,"MSTRG.5943","."
22489,"MSTRG.6409","gene",-2.8113661603416,0.00944182286252804,0.978513634375155,"chr14","-",26063750,26067409,"NM_001270495_2",4,1434,"MSTRG.6409","Tmem254b"
23971,"MSTRG.6801","gene",-2.72728905106391,0.028927829704164,0.978513634375155,"chr14","-",62689703,62761344,"MSTRG.6801.2",18,7189,"MSTRG.6801","."
25378,"MSTRG.7242","gene",-2.16998045734894,0.0224711578085773,0.978513634375155,"chr15","-",27730622,27790427,"MSTRG.7242.1",25,6062,"MSTRG.7242","."
35078,"MSTRG.9782","gene",3.25891867169077,0.0135126569122808,0.978513634375155,"chr17","-",66666746,67355156,"MSTRG.9782.1",34,6521,"MSTRG.9782","."
37263,"MSTRG.10406","gene",-6.42734336821426,0.00807298377994314,0.978513634375155,"chr18","-",60813770,60848906,"MSTRG.10406.3",24,4305,"MSTRG.10406","."
38047,"MSTRG.10654","gene",2.50224899059184,0.00634890889267448,0.978513634375155,"chr19","+",3766342,3818303,"MSTRG.10654.3",12,7160,"MSTRG.10654","."
38075,"MSTRG.10657","gene",2.186844290857,0.0368441871159491,0.978513634375155,"chr19","-",3908863,3931016,"MSTRG.10657.1",16,3612,"MSTRG.10657","."
40344,"MSTRG.11224","gene",-2.47406928492238,0.0012368604593278,0.978513634375155,"chr19","-",43846833,43890135,"MSTRG.11224.5",14,4560,"MSTRG.11224","."
45750,"MSTRG.12521","gene",-2.0904782112678,0.0344323928369465,0.978513634375155,"chr2","+",126152141,126165277,"NM_026981",5,1343,"MSTRG.12521","Dtwd1"
46488,"MSTRG.12724","gene",5.09598822400627,0.0247240229139774,0.978513634375155,"chr2","-",146238270,146512167,"MSTRG.12724.2",41,12884,"MSTRG.12724","."
54457,"MSTRG.14955","gene",2.58473414451623,0.0230725031462928,0.978513634375155,"chr4","+",86747429,86852419,"MSTRG.14955.2",34,11104,"MSTRG.14955","."
55499,"MSTRG.15223","gene",2.61808158265119,0.0447042274129906,0.978513634375155,"chr4","+",119533553,119629119,"MSTRG.15223.1",14,5495,"MSTRG.15223","."
65696,"MSTRG.17949","gene",-2.87841397995337,0.00224267305801018,0.978513634375155,"chr6","+",86028678,86127490,"MSTRG.17949.1",17,10637,"MSTRG.17949","."
66709,"MSTRG.18208","gene",2.71355784835739,0.0244276979038029,0.978513634375155,"chr6","-",119315133,119330766,"NM_172492",5,3578,"MSTRG.18208","Lrtm2"
69506,"MSTRG.18853","gene",2.41825359779781,0.048211906805137,0.978513634375155,"chr7","+",27232995,27257939,"MSTRG.18853.2",14,2489,"MSTRG.18853","."
71742,"MSTRG.19375","gene",3.35693509641209,0.0342771033850455,0.978513634375155,"chr7","+",75455556,75754609,"MSTRG.19375.4",38,12538,"MSTRG.19375","."
76403,"MSTRG.20609","gene",4.33533191387414,0.0400731266435117,0.978513634375155,"chr8","+",41239583,41335954,"MSTRG.20609.4",38,10277,"MSTRG.20609","."
77717,"MSTRG.20932","gene",2.2393160754179,0.0289224921413087,0.978513634375155,"chr8","+",83899045,83941954,"MSTRG.20932.3",23,14515,"MSTRG.20932","."
79638,"MSTRG.21464","gene",-2.22761254976117,0.0130474419273806,0.978513634375155,"chr8",".",126503198,126503602,"MSTRG.21464.1",1,405,"MSTRG.21464","."
81192,"MSTRG.21854","gene",-3.28898134279411,0.00534073611508523,0.978513634375155,"chr9","-",44803355,44827340,"MSTRG.21854.13",16,11617,"MSTRG.21854","."
