"id","feature","fc","pval","qval","chr","strand","start","end","t_name","num_exons","length","gene_id","gene_name"
"12038","transcript",-2.20433761983519,0.037250014442018,0.999840648231606,"chr11","-",72047528,72135889,"NM_001024927",20,6666,"MSTRG.3444","Pitpnm3"
"13581","transcript",-2.75154574893691,0.031734129668302,0.999840648231606,"chr11","+",98019855,98030478,"MSTRG.3893.2",7,1874,"MSTRG.3893","."
"13583","transcript",3.00236086405523,0.0045771025251149,0.999840648231606,"chr11","+",98021978,98030478,"MSTRG.3893.4",7,1471,"MSTRG.3893","."
"13846","transcript",-2.52666892697151,0.0311102979471705,0.999840648231606,"chr11","+",100319949,100322108,"MSTRG.3947.3",4,1295,"MSTRG.3947","."
"13848","transcript",2.64139227596244,0.0354163633001681,0.999840648231606,"chr11","+",100319996,100322096,"NM_011508",4,1211,"MSTRG.3947","Eif1"
"13948","transcript",2.68699289564056,0.00895160377366833,0.999840648231606,"chr11","+",101009452,101063717,"NM_001243049",21,3828,"MSTRG.3973","Atp6v0a1"
"15623","transcript",-3.69833820483387,0.00316663499344705,0.999840648231606,"chr12","-",3962579,3981490,"MSTRG.4427.13",12,8989,"MSTRG.4427","."
"16288","transcript",-4.01954147365198,0.0150880121733497,0.999840648231606,"chr12","-",36375027,36380511,"MSTRG.4646.1",1,5485,"MSTRG.4646","."
"16525","transcript",2.23046773789757,0.0230575676291982,0.999840648231606,"chr12","+",52783309,53150946,"MSTRG.4708.3",14,10215,"MSTRG.4708","."
"16562","transcript",-2.19785785548083,0.0135418730140769,0.999840648231606,"chr12","-",54746357,54795662,"NM_026998",14,1879,"MSTRG.4719","Snx6"
"20090","transcript",2.23388169642661,0.0461830058128919,0.999840648231606,"chr13","-",51423364,51570163,"MSTRG.5675.1",13,12196,"MSTRG.5675","."
"20227","transcript",3.22493559852881,0.0168363293362448,0.999840648231606,"chr13","-",54736617,54750088,"MSTRG.5707.1",2,4516,"MSTRG.5707","."
"22065","transcript",-2.75246087230481,0.0174945391960492,0.999840648231606,"chr14","-",12372563,12823079,"NM_012061",29,5478,"MSTRG.6300","Cadps"
"22529","transcript",-2.1232533197137,0.00461609718109757,0.999840648231606,"chr14","-",26413168,26549421,"MSTRG.6415.12",22,5663,"MSTRG.6415","."
"23384","transcript",-2.62681345538456,0.0440382171818401,0.999840648231606,"chr14","+",52279146,52295509,"NM_023434",10,4458,"MSTRG.6642","Tox4"
"24047","transcript",2.0443910804329,0.0188823838678933,0.999840648231606,"chr14","+",64714072,64809618,"MSTRG.6823.7",38,8870,"MSTRG.6823","."
"24752","transcript",3.27917921757731,0.00188785807476965,0.999840648231606,"chr14","-",105681761,105697578,"MSTRG.7057.2",3,906,"MSTRG.7057","."
"25369","transcript",2.04909036781909,0.0399112789649831,0.999840648231606,"chr15","-",27605949,27630681,"MSTRG.7237.9",6,1376,"MSTRG.7237","."
"25413","transcript",2.05780210616421,0.0326306605375705,0.999840648231606,"chr15",".",31654739,31655418,"MSTRG.7257.1",1,680,"MSTRG.7257","."
"26325","transcript",-2.48980445196452,0.015953974892826,0.999840648231606,"chr15","-",76070188,76081047,"MSTRG.7511.6",11,1955,"MSTRG.7511","."
"26992","transcript",2.15636683146473,0.0460971148174386,0.999840648231606,"chr15","+",81802397,81826860,"MSTRG.7700.3",5,4340,"MSTRG.7700","."
"26994","transcript",-2.04848714134583,0.0255898306292219,0.999840648231606,"chr15","+",81802673,81826863,"NM_153484",4,4151,"MSTRG.7700","Tef"
"27842","transcript",3.50788350022492,0.031809300915312,0.999840648231606,"chr15","-",98687669,98763257,"MSTRG.7949.1",6,2804,"MSTRG.7949","."
"27994","transcript",2.02409707160633,0.0389139436634973,0.999840648231606,"chr15","+",99393651,99410048,"MSTRG.7943.11",11,2587,"MSTRG.7943","."
"28034","transcript",3.3963001156577,0.0430402849762673,0.999840648231606,"chr15","+",99702287,99713995,"NM_031842",13,3153,"MSTRG.7982","Smarcd1"
"28114","transcript",-2.00790813665082,0.00628387492236182,0.999840648231606,"chr15","-",100575298,100602987,"MSTRG.8005.1",11,7981,"MSTRG.8005","."
"28815","transcript",2.12043333124816,0.0111909465737143,0.999840648231606,"chr16","+",11983196,12270909,"MSTRG.8186.8",6,5053,"MSTRG.8186","."
"29758","transcript",-2.06238513785238,0.0196716051371792,0.999840648231606,"chr16","-",31959670,32003287,"NM_177103",10,6334,"MSTRG.8424","Senp5"
