"t_id","id","feature","fc","pval","qval","chr","strand","start","end","t_name","num_exons","length","gene_id","gene_name"
5762,"MSTRG.2131","gene",-8.57605882385644,0.0271820960641185,0.947259696204028,"chr10","+",80702201,80704492,"MSTRG.2131.2",6,1218,"MSTRG.2131","."
5812,"MSTRG.2140","gene",-2.03150193157003,0.00219266644402072,0.947259696204028,"chr10","-",80852823,80855266,"MSTRG.2140.1",3,999,"MSTRG.2140","."
5820,"MSTRG.2142","gene",14.1475852987597,0.0330889540085939,0.947259696204028,"chr10","+",80861342,80868647,"MSTRG.2142.3",14,2701,"MSTRG.2142","."
6012,"MSTRG.2198","gene",-2.17861016761873,0.0174971762297123,0.947259696204028,"chr10",".",82120168,82120400,"MSTRG.2198.1",1,233,"MSTRG.2198","."
6070,"MSTRG.2232","gene",3.93086875450947,0.0261604309216756,0.947259696204028,"chr10","-",83231139,83337817,"NM_177388",11,4386,"MSTRG.2232","Slc41a2"
6227,"MSTRG.2304","gene",-4.35074058160839,0.00337873988301785,0.947259696204028,"chr10","-",89711986,89726822,"MSTRG.2304.2",8,1493,"MSTRG.2304","."
7397,"MSTRG.2684","gene",-2.53770311394729,0.00300331247810337,0.947259696204028,"chr11","+",3471072,3492301,"MSTRG.2684.4",3,821,"MSTRG.2684","."
7605,"MSTRG.2745","gene",-2.00733811516591,0.0304345829913215,0.947259696204028,"chr11","+",5788483,5800980,"NM_001146308",13,2369,"MSTRG.2745","Dbnl"
7644,"MSTRG.2759","gene",2.11376319704326,0.0351081515437611,0.947259696204028,"chr11","+",6291597,6359094,"NM_001252282",24,6660,"MSTRG.2759","Ogdh"
8083,"MSTRG.2945","gene",4.14173782683057,0.0325396885270929,0.947259696204028,"chr11","+",32296489,32297303,"NM_008218_1",3,559,"MSTRG.2945","Hba-a1"
9637,"MSTRG.3472","gene",2.61770670862709,0.0292111749495902,0.947259696204028,"chr11","-",70663788,70665457,"MSTRG.3472.4",5,1235,"MSTRG.3472","."
10045,"MSTRG.3607","gene",6.55665211564945,0.0209576532488942,0.947259696204028,"chr11","-",77529162,77607815,"NM_144825",20,12409,"MSTRG.3607","Taok1"
