"id","feature","fc","pval","qval","chr","strand","start","end","t_name","num_exons","length","gene_id","gene_name"
"10093","transcript",-9.23347466188088,0.0160942158109887,0.920557471237806,"chr11","+",78037941,78060432,"NM_001040403",11,2609,"MSTRG.3615","Flot2"
"1010","transcript",-2.77954940969904,0.0216722673247993,0.929868337649701,"chr1","-",59120935,59170014,"MSTRG.409.1",27,4517,"MSTRG.409","."
"10209","transcript",-4.10890312336752,0.0308013185359675,0.984410505376005,"chr11","-",79013442,79041157,"MSTRG.3650.2",15,5757,"MSTRG.3650","."
"10223","transcript",4.97459453900529,0.0427092265441094,0.984410505376005,"chr11","+",79339957,79581551,"MSTRG.3663.3",58,11691,"MSTRG.3663","."
"10233","transcript",2.66952479061298,0.0039877136045452,0.77096811039936,"chr11","+",79550992,79581524,"MSTRG.3663.7",11,4512,"MSTRG.3663","."
"10391","transcript",5.34199093993586,0.0186490372118401,0.920557471237806,"chr11","+",83410072,83421038,"NM_001013386",4,3481,"MSTRG.3716","Rasl10b"
"1043","transcript",-2.14472183858833,0.0470912595620345,0.984410505376005,"chr1","-",59989068,60043087,"NM_027407",11,3650,"MSTRG.422","Ica1l"
"1046","transcript",4.40054815480616,0.0428278528556851,0.984410505376005,"chr1","-",59989087,60043159,"MSTRG.422.6",11,3430,"MSTRG.422","."
"10478","transcript",-4.38893492277902,0.0165226983416357,0.920557471237806,"chr11","-",85023060,85139808,"MSTRG.3743.3",23,2721,"MSTRG.3743","."
"10623","transcript",2.80931178557786,0.0480546473219741,0.984410505376005,"chr11","+",88073055,88079965,"MSTRG.3795.4",5,1748,"MSTRG.3795","."
"10665","transcript",3.74550956756218,0.0411084582536074,0.984410505376005,"chr11","-",89037582,89049902,"MSTRG.3811.5",6,3913,"MSTRG.3811","."
"10685","transcript",2.68513397730107,0.0491706265683381,0.984410505376005,"chr11","-",90336535,90390917,"NM_172563",4,5665,"MSTRG.3816","Hlf"
"10690","transcript",2.54841678143551,0.0204938614558174,0.920557471237806,"chr11","-",90476522,90622238,"MSTRG.3817.2",17,5972,"MSTRG.3817","."
"10735","transcript",2.61113980802745,0.0480491819380089,0.984410505376005,"chr11","-",94287944,94321553,"MSTRG.3832.4",11,5162,"MSTRG.3832","."
"10886","transcript",-4.5768500377227,0.0185705088157103,0.920557471237806,"chr11","+",96789144,96808148,"MSTRG.3879.5",5,1006,"MSTRG.3879","."
"11050","transcript",4.78472181560657,0.00754440473216134,0.864602437336879,"chr11","-",98325417,98329645,"MSTRG.3936.2",2,3641,"MSTRG.3936","."
"11228","transcript",-3.84976057750971,0.0256102743416002,0.966311189861918,"chr11","-",100351417,100354137,"MSTRG.3970.11",6,651,"MSTRG.3970","."
"11245","transcript",-3.77187388296077,0.00995145299199973,0.88570831988373,"chr11","-",100431075,100441089,"MSTRG.3984.5",7,821,"MSTRG.3984","."
"11446","transcript",-3.72262168005469,0.0142276093067949,0.920557471237806,"chr11","-",102195747,102230172,"NM_001284250",27,3799,"MSTRG.4056","Hdac5"
"11564","transcript",-2.2942237781707,0.0281796742545474,0.975683459622622,"chr11","+",103101688,103112199,"MSTRG.4087.6",10,2139,"MSTRG.4087","."
"11607","transcript",-4.30298321366548,0.0101478630678788,0.88570831988373,"chr11","-",103683677,103697710,"MSTRG.4094.7",4,579,"MSTRG.4094","."
"11642","transcript",-4.26265186541224,0.0358256020218373,0.984410505376005,"chr11","-",104333508,104468875,"MSTRG.4105.7",13,5802,"MSTRG.4105","."
"11654","transcript",-2.9579752842969,0.0372765820773802,0.984410505376005,"chr11","+",104550663,104587219,"NM_010858",9,883,"MSTRG.4111","Myl4"
"11674","transcript",4.66426930524021,0.0467890031191984,0.984410505376005,"chr11","+",105182415,105283930,"MSTRG.4122.8",22,4998,"MSTRG.4122","."
"11714","transcript",-3.01263881762555,0.0322355339336526,0.984410505376005,"chr11","-",106156256,106159857,"MSTRG.4137.3",4,3004,"MSTRG.4137","."
"1180","transcript",-3.43320595301414,0.0287805378150696,0.984410505376005,"chr1","-",65158616,65186479,"NM_001111320",9,2285,"MSTRG.474","Idh1"
"12105","transcript",2.9058159108369,0.00962834976585003,0.88570831988373,"chr11","-",116142285,116168178,"NM_172571",31,5373,"MSTRG.4286","Fbf1"
"1211","transcript",3.71760516791756,0.00651107027511477,0.838733157003038,"chr1","+",66483239,66593514,"MSTRG.487.15",21,3441,"MSTRG.487","."
"1216","transcript",-3.53304412789749,0.0327967381880919,0.984410505376005,"chr1","+",66521453,66638686,"MSTRG.487.19",26,3730,"MSTRG.487","."
"12189","transcript",-3.23779389539405,0.0301455203111609,0.984410505376005,"chr11","+",116845760,116849740,"MSTRG.4306.7",5,965,"MSTRG.4306","."
"12255","transcript",-3.55399237616154,0.035042110770557,0.984410505376005,"chr11","+",117987146,118024010,"MSTRG.4331.3",9,2057,"MSTRG.4331","."
"12459","transcript",-3.30036158341692,0.00241909280733221,0.612683635313029,"chr11","-",120610087,120617890,"MSTRG.4416.2",14,2019,"MSTRG.4416","."
"12468","transcript",4.22005837618625,0.0318691217564094,0.984410505376005,"chr11","-",120625046,120633040,"MSTRG.4419.8",4,7339,"MSTRG.4419","."
"12510","transcript",-2.10069495741377,0.0440460931844173,0.984410505376005,"chr11","+",120762794,120764396,"MSTRG.4425.2",2,1570,"MSTRG.4425","."
"12579","transcript",3.1008946501126,0.00150244942099664,0.540883428316421,"chr11","+",121266767,121309929,"MSTRG.4446.4",9,4735,"MSTRG.4446","."
"12639","transcript",-4.10268823148543,0.00170937097910417,0.564361930765124,"chr12","+",3617603,3784059,"MSTRG.4476.9",16,4407,"MSTRG.4476","."
"12761","transcript",3.63144383439055,0.00213169273417058,0.593289910750969,"chr12","+",8744613,8752569,"MSTRG.4517.12",6,3707,"MSTRG.4517","."
"12766","transcript",2.93989006022403,0.0488470119867213,0.984410505376005,"chr12","+",8974001,9028847,"NM_001159527",27,4359,"MSTRG.4518","Wdr35"
"129","transcript",2.81363520718296,0.0268273652770861,0.970565044521649,"chr1","+",11160094,11184543,"MSTRG.58.2",6,1115,"MSTRG.58","."
"13058","transcript",-3.83968018853119,0.0145315623956396,0.920557471237806,"chr12","+",29784248,29893447,"MSTRG.4654.18",12,2714,"MSTRG.4654","."
"13189","transcript",2.21302186446126,0.0141750014324984,0.920557471237806,"chr12","+",37880179,38166776,"MSTRG.4711.1",13,1570,"MSTRG.4711","."
