"t_id","id","feature","fc","pval","qval","chr","strand","start","end","t_name","num_exons","length","gene_id","gene_name"
7135,"MSTRG.2614","gene",5.75219423241496,0.0033950775611411,0.879177345802897,"chr10","-",128362959,128370003,"MSTRG.2614.2",5,2760,"MSTRG.2614","."
7207,"MSTRG.2634","gene",-2.12183540830289,0.0314921493967771,0.98794159231618,"chr10","-",128677183,128696268,"MSTRG.2634.1",6,3333,"MSTRG.2634","."
7597,"MSTRG.2744","gene",11.1111449397661,0.00314893992099274,0.879177345802897,"chr11","+",5762147,5784960,"MSTRG.2744.4",6,1715,"MSTRG.2744","."
9252,"MSTRG.3358","gene",3.45648539881306,0.0412040923383923,0.98794159231618,"chr11","+",68765038,68816624,"MSTRG.3358.3",31,6302,"MSTRG.3358","."
10458,"MSTRG.3737","gene",-4.29039487327238,0.00823189522913204,0.98794159231618,"chr11","-",84831743,84870738,"MSTRG.3737.1",14,3595,"MSTRG.3737","."
11237,"MSTRG.3984","gene",2.33054665011191,0.0360007077580693,0.98794159231618,"chr11","-",100422321,100441089,"NM_026561",9,1427,"MSTRG.3984","Nt5c3b"
11686,"MSTRG.4124","gene",2.17430267746473,0.00928022453885868,0.98794159231618,"chr11","+",105589986,105929303,"NM_181071",26,11859,"MSTRG.4124","Tanc2"
11805,"MSTRG.4164","gene",-2.74686743756083,0.0168420974046378,0.98794159231618,"chr11","+",107479528,107485837,"MSTRG.4164.1",2,445,"MSTRG.4164","."
12346,"MSTRG.4377","gene",2.06900137259992,0.0209672480019898,0.98794159231618,"chr11","-",119538719,119543363,"MSTRG.4377.1",2,4148,"MSTRG.4377","."
12647,"MSTRG.4477","gene",-4.32435648516258,0.031850307265523,0.98794159231618,"chr12","+",3806145,3895864,"MSTRG.4477.1",7,1208,"MSTRG.4477","."
13001,"MSTRG.4637","gene",-5.21424253798819,0.00087685354075806,0.679100249910501,"chr12","-",26306794,26415262,"NM_001081977",10,5172,"MSTRG.4637","Rnf144a"
13329,"MSTRG.4780","gene",-2.92567148046967,0.00849998273408259,0.98794159231618,"chr12","+",51690931,51739016,"MSTRG.4780.4",6,1993,"MSTRG.4780","."
14619,"MSTRG.5210","gene",2.03400585291955,0.00359529508279754,0.879177345802897,"chr12","+",105336594,105383932,"MSTRG.5210.1",4,3162,"MSTRG.5210","."
15154,"MSTRG.5367","gene",36.6278031663536,0.00324638689645584,0.879177345802897,"chr12","+",113186036,113189559,"MSTRG.5367.2",2,1632,"MSTRG.5367","."
15734,"MSTRG.5598","gene",-5.27876585208365,0.000336950977659511,0.477122584365868,"chr13","+",24940146,24962428,"MSTRG.5598.3",10,1272,"MSTRG.5598","."
16018,"MSTRG.5693","gene",-2.03927696932507,0.0036366294570136,0.879177345802897,"chr13","-",43151742,43171501,"NM_025935",8,1241,"MSTRG.5693","Tbc1d7"
16102,"MSTRG.5735","gene",-48.7521177891545,0.00165023505608719,0.879177345802897,"chr13","+",48483097,48487217,"MSTRG.5735.1",1,4121,"MSTRG.5735","."
16946,"MSTRG.6053","gene",4.89830950006136,0.0204441753770523,0.98794159231618,"chr13","+",75089386,75135295,"MSTRG.6053.1",15,5391,"MSTRG.6053","."
17434,"MSTRG.6261","gene",-33.0051577733362,0.0369738429695925,0.98794159231618,"chr13","-",105130466,105294886,"MSTRG.6261.1",8,3010,"MSTRG.6261","."
19448,"MSTRG.6940","gene",5.89582214639731,0.0193618645103475,0.98794159231618,"chr14","-",67014056,67072471,"NM_028032",10,4037,"MSTRG.6940","Ppp2r2a"
19532,"MSTRG.6974","gene",-2.04357955703988,0.0435599476240662,0.98794159231618,"chr14","-",70180468,70192246,"NM_001271409",10,1926,"MSTRG.6974","Sorbs3"
19796,"MSTRG.7082","gene",37.2850373690065,0.000478561278540512,0.527055488099284,"chr14","-",88464747,88471396,"NM_178685",3,5237,"MSTRG.7082","Pcdh20"
22481,"MSTRG.8044","gene",20.148675958514,0.0397508219311249,0.98794159231618,"chr15","+",99670718,99701128,"NM_009597",12,3764,"MSTRG.8044","Asic1"
