"t_id","id","feature","fc","pval","qval","chr","strand","start","end","t_name","num_exons","length","gene_id","gene_name"
5085,"MSTRG.1750","gene",3.86049674113346,0.0230922218644496,0.886600970986988,"chr10","-",75859348,75860276,"MSTRG.1750.1",2,786,"MSTRG.1750","."
5646,"MSTRG.1840","gene",-13.5375226711823,0.00687983893205724,0.886600970986988,"chr10","-",81028540,81033912,"NM_134135",2,3462,"MSTRG.1840","Slc39a3"
6621,"MSTRG.2239","gene",14.5345516158496,0.0235388129337525,0.886600970986988,"chr10","+",123264076,123741204,"NR_045514",6,4398,"MSTRG.2239","Fam19a2"
6904,"MSTRG.2315","gene",2.94798878577684,0.0235244068813752,0.886600970986988,"chr10","-",128557773,128566002,"MSTRG.2315.2",12,2464,"MSTRG.2315","."
7871,"MSTRG.2617","gene",3.37528283734827,0.039450288329912,0.886600970986988,"chr11","-",40679314,40695203,"NM_001199274",7,2053,"MSTRG.2617","Mat2b"
7908,"MSTRG.2632","gene",-5.68313612597738,0.00915727894085516,0.886600970986988,"chr11","+",43433731,43447981,"NM_198936",16,3653,"MSTRG.2632","Slu7"
8554,"MSTRG.2832","gene",3.48249267576336,0.00961491875321097,0.886600970986988,"chr11","+",59449793,59461183,"MSTRG.2832.1",5,7475,"MSTRG.2832","."
8638,"MSTRG.2851","gene",-2.92965671579863,0.000570735932898359,0.801950762162798,"chr11","-",60400632,60417017,"MSTRG.2851.2",7,2975,"MSTRG.2851","."
8672,"MSTRG.2860","gene",-9.03126584279292,0.0175791229562605,0.886600970986988,"chr11","+",60777525,60788287,"NM_001085440",2,7391,"MSTRG.2860","Smcr8"
8829,"MSTRG.2898","gene",9.71192495116868,0.00134619797629598,0.801950762162798,"chr11","+",62551504,62553212,"MSTRG.2898.3",3,937,"MSTRG.2898","."
8949,"MSTRG.2941","gene",-4.49743963526507,0.0385808214278031,0.886600970986988,"chr11","+",67596555,67688992,"NM_001277080",13,6848,"MSTRG.2941","Gas7"
9717,"MSTRG.3164","gene",-5.47053659762159,0.0368921327691915,0.886600970986988,"chr11","+",77763289,77824286,"MSTRG.3164.4",13,4412,"MSTRG.3164","."
9766,"MSTRG.3176","gene",4.73458572531104,0.0139283365558254,0.886600970986988,"chr11","+",78115609,78157328,"MSTRG.3176.3",3,3983,"MSTRG.3176","."
9769,"MSTRG.3178","gene",2.48569655270722,0.0207804719762854,0.886600970986988,"chr11","-",78158423,78165550,"NM_009423",7,3016,"MSTRG.3178","Traf4"
10197,"MSTRG.3310","gene",-2.03709858528427,0.0391324169607523,0.886600970986988,"chr11","+",86684081,86692457,"NM_001098810",2,2942,"MSTRG.3310","Ptrh2"
10241,"MSTRG.3332","gene",-41.125467043187,0.00295519922053833,0.886600970986988,"chr11","+",87760541,87785928,"NM_172449",32,7616,"MSTRG.3332","Bzrap1"
11063,"MSTRG.3569","gene",32.8093364652686,0.00390604071885992,0.886600970986988,"chr11","-",102056849,102088598,"MSTRG.3569.1",12,4219,"MSTRG.3569","."
11331,"MSTRG.3638","gene",-3.88975515550902,0.0368688220327247,0.886600970986988,"chr11","-",105933662,105936870,"MSTRG.3638.1",2,3025,"MSTRG.3638","."
11413,"MSTRG.3668","gene",-3.20434543811315,0.000107637665116123,0.388551514718689,"chr11","-",106820055,106836186,"MSTRG.3668.2",7,3745,"MSTRG.3668","."
12729,"MSTRG.4092","gene",-4.34846278718537,0.0439950546720691,0.886600970986988,"chr12","+",30584391,30591216,"MSTRG.4092.1",4,4616,"MSTRG.4092","."
13355,"MSTRG.4320","gene",-2.17927120731593,0.0300248655415301,0.886600970986988,"chr12","+",73907900,73941883,"MSTRG.4320.4",10,2204,"MSTRG.4320","."
14568,"MSTRG.4644","gene",2.14116785241974,0.0238299168743772,0.886600970986988,"chr12","-",110975123,110979049,"MSTRG.4644.1",3,3038,"MSTRG.4644","."
15601,"MSTRG.4972","gene",3.023970157868,0.0210127587210243,0.886600970986988,"chr13","+",40859768,40960892,"NM_023887",3,4343,"MSTRG.4972","Gcnt2"
16029,"MSTRG.5122","gene",7.44826158301158,0.0339780433345125,0.886600970986988,"chr13","-",55473160,55488098,"MSTRG.5122.1",15,3337,"MSTRG.5122","."
16318,"MSTRG.5208","gene",2.24569598452926,0.0207805110014165,0.886600970986988,"chr13","-",63508332,63567308,"MSTRG.5208.1",24,8875,"MSTRG.5208","."
18059,"MSTRG.5795","gene",-2.79558254022473,0.02081248359011,0.886600970986988,"chr14","-",32080517,32085692,"NM_001284346",4,1189,"MSTRG.5795","Dph3"
18302,"MSTRG.5875","gene",2.55558824233634,0.0106838782682246,0.886600970986988,"chr14","+",47472561,47531962,"NM_030236",2,2945,"MSTRG.5875","Fbxo34"
18420,"MSTRG.5908","gene",4.34131981939746,0.00561208826247872,0.886600970986988,"chr14","-",50926170,50930899,"MSTRG.5908.2",7,2682,"MSTRG.5908","."
19220,"MSTRG.6132","gene",4.01609885788326,0.0218027158695813,0.886600970986988,"chr14","-",69784731,69800819,"MSTRG.6132.1",7,9978,"MSTRG.6132","."
19486,"MSTRG.6222","gene",29.8722022915631,0.00286299116083988,0.886600970986988,"chr14","+",84443563,84537060,"MSTRG.6222.4",4,9506,"MSTRG.6222","."
23164,"MSTRG.7326","gene",-4.02446825485278,0.0261200784630591,0.886600970986988,"chr16","-",17835159,17858769,"MSTRG.7326.1",9,8197,"MSTRG.7326","."
23414,"MSTRG.7408","gene",3.68489522163622,0.00978941034739,0.886600970986988,"chr16","+",20716656,20722533,"MSTRG.7408.2",4,2308,"MSTRG.7408","."
23417,"MSTRG.7404","gene",-7.31956003902187,0.0288495378949087,0.886600970986988,"chr16","-",20724220,20733329,"MSTRG.7404.1",3,6979,"MSTRG.7404","."
38655,"MSTRG.12009","gene",-2.24081910836321,0.04665574605407,0.886600970986988,"chr3","-",33812358,33844289,"MSTRG.12009.1",12,13304,"MSTRG.12009","."
38962,"MSTRG.12126","gene",2.20486431123144,0.0323275126878584,0.886600970986988,"chr3","+",55242526,55471317,"NM_001111053",7,6026,"MSTRG.12126","Dclk1"
39644,"MSTRG.12406","gene",-4.88927805434631,0.0351885977985769,0.886600970986988,"chr3","-",88744701,88772599,"NM_018804",4,4567,"MSTRG.12406","Syt11"
40753,"MSTRG.12675","gene",-22.2692680031936,0.0458808448818471,0.886600970986988,"chr3","-",107438301,107462904,"MSTRG.12675.1",4,6959,"MSTRG.12675","."
40847,"MSTRG.12705","gene",13.7929398801245,0.0436833481174044,0.886600970986988,"chr3","-",108426533,108445259,"MSTRG.12705.4",11,2276,"MSTRG.12705","."
41519,"MSTRG.12947","gene",2.29946087160571,0.000805521260409892,0.801950762162798,"chr3",".",147972327,147972685,"MSTRG.12947.1",1,359,"MSTRG.12947","."
41829,"MSTRG.13045","gene",2.67969248381403,0.0423646419221884,0.886600970986988,"chr4","+",12089296,12096318,"MSTRG.13045.3",2,4228,"MSTRG.13045","."
41839,"MSTRG.13049","gene",3.07981187891014,0.0319257400894084,0.886600970986988,"chr4","+",12140117,12146746,"NM_028226",3,3284,"MSTRG.13049","Rbm12b1"
43002,"MSTRG.13444","gene",-2.17330042182879,0.0381444593587478,0.886600970986988,"chr4","-",75956229,76246901,"MSTRG.13444.3",23,3930,"MSTRG.13444","."
43272,"MSTRG.13515","gene",-3.81380677549593,0.0158975084189242,0.886600970986988,"chr4","+",95992056,96025295,"MSTRG.13515.3",19,6391,"MSTRG.13515","."
43627,"MSTRG.13615","gene",11.06974141057,0.000825773085443071,0.801950762162798,"chr4","+",109280275,109387816,"NM_007943",25,5182,"MSTRG.13615","Eps15"
43774,"MSTRG.13669","gene",5.10589639078389,0.0293551914335297,0.886600970986988,"chr4","-",116306760,116464181,"NM_001042743",30,5724,"MSTRG.13669","Mast2"
45811,"MSTRG.14263","gene",-2.01735344504151,0.0377404483158995,0.886600970986988,"chr4","+",154963861,154980932,"MSTRG.14263.2",16,3880,"MSTRG.14263","."
46116,"MSTRG.14326","gene",2.43344337173665,0.00793008792638328,0.886600970986988,"chr4_JH584293_random","-",16836,22237,"NM_001267702_1",6,641,"MSTRG.14326","LOC100861978"
46539,"MSTRG.14465","gene",2.46564150598928,0.0329170932127595,0.886600970986988,"chr5","+",24685807,24710370,"MSTRG.14465.2",13,5440,"MSTRG.14465","."
47501,"MSTRG.14778","gene",2.00400947018047,0.04586966898371,0.886600970986988,"chr5","-",70958341,71096310,"MSTRG.14778.2",8,5265,"MSTRG.14778","."
48033,"MSTRG.14933","gene",-3.58862296896902,0.0432891225782024,0.886600970986988,"chr5","-",100361653,100381369,"MSTRG.14933.2",9,1892,"MSTRG.14933","."
48158,"MSTRG.14970","gene",-9.38937364406674,0.0256923981910038,0.886600970986988,"chr5","+",105454711,105490067,"MSTRG.14970.2",5,6712,"MSTRG.14970","."
48533,"MSTRG.15057","gene",9.50594302185055,0.0408026920592979,0.886600970986988,"chr5","-",112213211,112229426,"MSTRG.15057.1",7,9219,"MSTRG.15057","."
49644,"MSTRG.15419","gene",2.12992067163131,0.0405125877715378,0.886600970986988,"chr5","+",137277274,137295664,"MSTRG.15419.1",4,16031,"MSTRG.15419","."
49663,"MSTRG.15417","gene",-2.21132087159112,0.0168039525340333,0.886600970986988,"chr5","-",137309908,137340081,"MSTRG.15417.3",17,11859,"MSTRG.15417","."
50426,"MSTRG.15669","gene",2.52882034469333,0.0452811334519617,0.886600970986988,"chr6","+",8270469,8459465,"MSTRG.15669.6",3,2193,"MSTRG.15669","."
